UniProtID	UniProtID	score
TXTP_HUMAN	RAC3_HUMAN	0.8
TXTP_HUMAN	ESR1_HUMAN	2.4000000000000004
TXTP_HUMAN	SYUA_HUMAN	2.7199999999999998
TXTP_HUMAN	CTNB1_HUMAN	0.8
TXTP_HUMAN	MAGD1_HUMAN	1.6
TXTP_HUMAN	IMB1_HUMAN	0.8
TXTP_HUMAN	SQSTM_HUMAN	0.8
TXTP_HUMAN	ATX3_HUMAN	0.8
TXTP_HUMAN	RAF1_HUMAN	2.4000000000000004
TXTP_HUMAN	M4K1_HUMAN	1.6
TXTP_HUMAN	SHAN3_HUMAN	1.92
TXTP_HUMAN	NEK8_HUMAN	1.6
TXTP_HUMAN	HDAC6_HUMAN	0.8
TXTP_HUMAN	ASXL1_HUMAN	0.8
TXTP_HUMAN	F16P1_HUMAN	0.8
TXTP_HUMAN	TAU_HUMAN	0.8
TXTP_HUMAN	HSP7C_HUMAN	1.6
TXTP_HUMAN	VAPA_HUMAN	1.6
TXTP_HUMAN	HS90B_HUMAN	0.8
TXTP_HUMAN	ARAF_HUMAN	1.6
TXTP_HUMAN	RC3H1_HUMAN	0.8
TXTP_HUMAN	CDK7_HUMAN	0.8
TXTP_HUMAN	CLN5_HUMAN	0.8
TXTP_HUMAN	RYBP_HUMAN	0.8
TXTP_HUMAN	RS6_HUMAN	1.6
TXTP_HUMAN	HSPB1_HUMAN	0.8
TXTP_HUMAN	LMNA_HUMAN	0.8
TXTP_HUMAN	S61A1_HUMAN	0.8
TXTP_HUMAN	RB11A_HUMAN	1.6
TXTP_HUMAN	1433F_HUMAN	1.6
TXTP_HUMAN	1433T_HUMAN	0.8
TXTP_HUMAN	PCBP1_HUMAN	0.8
TXTP_HUMAN	ITB1_HUMAN	1.28
TXTP_HUMAN	YBOX1_HUMAN	0.8
TXTP_HUMAN	VAV_HUMAN	2.4000000000000004
TXTP_HUMAN	RALB_HUMAN	2.4000000000000004
TXTP_HUMAN	DDR2_HUMAN	1.6
TXTP_HUMAN	NUCL_HUMAN	0.8
TXTP_HUMAN	RND1_HUMAN	0.8
TXTP_HUMAN	PAK1_HUMAN	1.6
TXTP_HUMAN	ENPL_HUMAN	1.6
TXTP_HUMAN	CDC42_HUMAN	0.8
TXTP_HUMAN	RAC1_HUMAN	0.8
TXTP_HUMAN	KPCZ_HUMAN	1.6
TXTP_HUMAN	IFM1_HUMAN	0.8
TXTP_HUMAN	MIC60_HUMAN	0.8
TXTP_HUMAN	TCPE_HUMAN	0.8
TXTP_HUMAN	XRCC6_HUMAN	0.8
TXTP_HUMAN	TCPG_HUMAN	0.8
TXTP_HUMAN	BRD7_HUMAN	0.8
TXTP_HUMAN	DYR1A_HUMAN	1.6
TXTP_HUMAN	PARP1_HUMAN	0.8
TXTP_HUMAN	RHOA_HUMAN	0.8
TXTP_HUMAN	HLAB_HUMAN	0.8
TXTP_HUMAN	GOGA2_HUMAN	1.6
TXTP_HUMAN	MERL_HUMAN	0.8
TXTP_HUMAN	RUFY1_HUMAN	0.8
TXTP_HUMAN	RAC2_HUMAN	0.8
TXTP_HUMAN	PPT1_HUMAN	1.6
TXTP_HUMAN	TBA1A_HUMAN	1.6
TXTP_HUMAN	RBP2_HUMAN	0.8
TXTP_HUMAN	DYHC1_HUMAN	0.8
TXTP_HUMAN	CAC1C_HUMAN	1.6
TXTP_HUMAN	RPN1_HUMAN	0.8
TXTP_HUMAN	KS6A2_HUMAN	1.6
TXTP_HUMAN	ERBB2_HUMAN	0.8
TXTP_HUMAN	PTEN_HUMAN	1.44
TXTP_HUMAN	ENOA_HUMAN	0.8
TXTP_HUMAN	CIC_HUMAN	0.8
TXTP_HUMAN	COIL_HUMAN	0.8
TXTP_HUMAN	F162A_HUMAN	0.8
TXTP_HUMAN	AT1A1_HUMAN	0.8
TXTP_HUMAN	PRKN_HUMAN	2.4000000000000004
TXTP_HUMAN	KKCC2_HUMAN	1.6
TXTP_HUMAN	TBB5_HUMAN	0.8
TXTP_HUMAN	FES_HUMAN	1.6
TXTP_HUMAN	ESR2_HUMAN	0.8
TXTP_HUMAN	RHOU_HUMAN	0.8
TXTP_HUMAN	FINC_HUMAN	1.6
TXTP_HUMAN	AAKB1_HUMAN	1.28
TXTP_HUMAN	CHM4B_HUMAN	0.8
TXTP_HUMAN	TCPA_HUMAN	0.8
TXTP_HUMAN	UBE2H_HUMAN	0.8
TXTP_HUMAN	AAPK1_HUMAN	1.28
TXTP_HUMAN	RHOB_HUMAN	1.6
TXTP_HUMAN	SRPK2_HUMAN	1.6
TXTP_HUMAN	TCPB_HUMAN	0.8
TXTP_HUMAN	HDAC5_HUMAN	0.8
TXTP_HUMAN	SOCS1_HUMAN	1.6
TXTP_HUMAN	NTRK1_HUMAN	0.8
TXTP_HUMAN	MLH1_HUMAN	1.6
TXTP_HUMAN	RS5_HUMAN	0.8
TXTP_HUMAN	RFA1_HUMAN	0.8
TXTP_HUMAN	RFA2_HUMAN	0.8
TXTP_HUMAN	RFA3_HUMAN	0.8
TXTP_HUMAN	TNIP1_HUMAN	0.8
TXTP_HUMAN	CH60_HUMAN	0.8
TXTP_HUMAN	RPN2_HUMAN	0.8
TXTP_HUMAN	CDK4_HUMAN	1.6
TXTP_HUMAN	ARF4_HUMAN	0.8
TXTP_HUMAN	JUN_HUMAN	1.6
TXTP_HUMAN	MYC_HUMAN	3.2
TXTP_HUMAN	CUL3_HUMAN	0.8
TXTP_HUMAN	SPOP_HUMAN	0.8
TXTP_HUMAN	BCKD_HUMAN	1.6
TXTP_HUMAN	UBE3A_HUMAN	0.8
TXTP_HUMAN	OTUB1_HUMAN	2.4000000000000004
TXTP_HUMAN	GBB2_HUMAN	0.8
TXTP_HUMAN	MSH2_HUMAN	0.8
TXTP_HUMAN	TBB3_HUMAN	0.8
TXTP_HUMAN	TIP_HUMAN	0.8
TXTP_HUMAN	ZN746_HUMAN	0.8
TXTP_HUMAN	U5S1_HUMAN	0.8
TXTP_HUMAN	ILK_HUMAN	1.6
TXTP_HUMAN	M3K14_HUMAN	1.6
TXTP_HUMAN	CAPZB_HUMAN	0.8
TXTP_HUMAN	TCPD_HUMAN	0.8
TXTP_HUMAN	LMTK1_HUMAN	1.6
TXTP_HUMAN	PRP8_HUMAN	0.8
TXTP_HUMAN	DNJA2_HUMAN	0.8
TXTP_HUMAN	NDUS1_HUMAN	0.8
TXTP_HUMAN	A16L1_HUMAN	1.44
TXTP_HUMAN	LRRK2_HUMAN	0.8
TXTP_HUMAN	SRBP2_HUMAN	0.8
TXTP_HUMAN	PTK6_HUMAN	1.6
TXTP_HUMAN	CTRO_HUMAN	0.8
