UniProtID	UniProtID	score
UBL4A_HUMAN	LRC59_HUMAN	0.8
UBL4A_HUMAN	RL19_HUMAN	0.8
UBL4A_HUMAN	KS6B1_HUMAN	0.8
UBL4A_HUMAN	PCBP2_HUMAN	0.8
UBL4A_HUMAN	C170L_HUMAN	0.8
UBL4A_HUMAN	FAS_HUMAN	0.8
UBL4A_HUMAN	HSP72_HUMAN	0.8
UBL4A_HUMAN	RAB14_HUMAN	0.8
UBL4A_HUMAN	RL6_HUMAN	0.8
UBL4A_HUMAN	LDHB_HUMAN	0.8
UBL4A_HUMAN	RS8_HUMAN	0.8
UBL4A_HUMAN	CDIPT_HUMAN	0.8
UBL4A_HUMAN	RS17_HUMAN	0.8
UBL4A_HUMAN	SHRPN_HUMAN	0.8
UBL4A_HUMAN	RS16_HUMAN	0.8
UBL4A_HUMAN	RS5_HUMAN	0.8
UBL4A_HUMAN	HS90B_HUMAN	0.8
UBL4A_HUMAN	PPIB_HUMAN	0.8
UBL4A_HUMAN	RS25_HUMAN	0.8
UBL4A_HUMAN	OGT1_HUMAN	0.8
UBL4A_HUMAN	SRC8_HUMAN	0.8
UBL4A_HUMAN	RSSA_HUMAN	0.8
UBL4A_HUMAN	ERLN2_HUMAN	0.8
UBL4A_HUMAN	RL13_HUMAN	0.8
UBL4A_HUMAN	NDUA7_HUMAN	0.8
UBL4A_HUMAN	RPN1_HUMAN	0.8
UBL4A_HUMAN	RL37A_HUMAN	0.8
UBL4A_HUMAN	RL9_HUMAN	0.8
UBL4A_HUMAN	RL32_HUMAN	0.8
UBL4A_HUMAN	MK03_HUMAN	1.6
UBL4A_HUMAN	PGRC1_HUMAN	0.8
UBL4A_HUMAN	MYH9_HUMAN	1.28
UBL4A_HUMAN	RPN2_HUMAN	0.8
UBL4A_HUMAN	STXB3_HUMAN	0.8
UBL4A_HUMAN	DHB12_HUMAN	0.8
UBL4A_HUMAN	RL3_HUMAN	0.8
UBL4A_HUMAN	SPTB2_HUMAN	0.8
UBL4A_HUMAN	RL23A_HUMAN	0.8
UBL4A_HUMAN	RS6_HUMAN	0.8
UBL4A_HUMAN	RS26_HUMAN	0.8
UBL4A_HUMAN	RS3_HUMAN	0.8
