UniProtID	UniProtID	score
UBP8_HUMAN	GRB2_HUMAN	1.8
UBP8_HUMAN	SRC_HUMAN	1.6400000000000001
UBP8_HUMAN	ESR1_HUMAN	2
UBP8_HUMAN	SYUA_HUMAN	3
UBP8_HUMAN	ERBB4_HUMAN	1
UBP8_HUMAN	GRAP2_HUMAN	12.600000000000001
UBP8_HUMAN	EPS15_HUMAN	2
UBP8_HUMAN	P63_HUMAN	1
UBP8_HUMAN	SQSTM_HUMAN	4
UBP8_HUMAN	TGON2_HUMAN	1.6
UBP8_HUMAN	SHAN3_HUMAN	1
UBP8_HUMAN	CD2AP_HUMAN	1.28
UBP8_HUMAN	LEPR_HUMAN	4
UBP8_HUMAN	RIT1_HUMAN	0.8
UBP8_HUMAN	1433S_HUMAN	9.6
UBP8_HUMAN	1433E_HUMAN	14.680000000000001
UBP8_HUMAN	1433Z_HUMAN	12.8
UBP8_HUMAN	HUNK_HUMAN	1.6
UBP8_HUMAN	UBP21_HUMAN	0.8
UBP8_HUMAN	SHAN1_HUMAN	1
UBP8_HUMAN	FGFR1_HUMAN	1.6
UBP8_HUMAN	SCNNB_HUMAN	2
UBP8_HUMAN	PTN23_HUMAN	1.6400000000000001
UBP8_HUMAN	1433F_HUMAN	7.199999999999999
UBP8_HUMAN	1433T_HUMAN	11.400000000000002
UBP8_HUMAN	1433B_HUMAN	12.200000000000003
UBP8_HUMAN	ITB1_HUMAN	0.64
UBP8_HUMAN	PP1A_HUMAN	1
UBP8_HUMAN	HD_HUMAN	0.8
UBP8_HUMAN	EGFR_HUMAN	11.000000000000002
UBP8_HUMAN	1433G_HUMAN	9.6
UBP8_HUMAN	GCR_HUMAN	0.8
UBP8_HUMAN	EEA1_HUMAN	1
UBP8_HUMAN	UBC9_HUMAN	1.6
UBP8_HUMAN	IFM1_HUMAN	0.8
UBP8_HUMAN	ELAV1_HUMAN	1
UBP8_HUMAN	STX6_HUMAN	0.8
UBP8_HUMAN	UBC_HUMAN	12.8
UBP8_HUMAN	NTRK2_HUMAN	4
UBP8_HUMAN	AKT1_HUMAN	1
UBP8_HUMAN	CXA1_HUMAN	2.8
UBP8_HUMAN	EPG5_HUMAN	3
UBP8_HUMAN	STAM1_HUMAN	5.64
UBP8_HUMAN	NOTC1_HUMAN	2
UBP8_HUMAN	STAT6_HUMAN	0.8
UBP8_HUMAN	RGRF1_HUMAN	2.4000000000000004
UBP8_HUMAN	CHM1B_HUMAN	10.8
UBP8_HUMAN	PTEN_HUMAN	2
UBP8_HUMAN	RASK_HUMAN	0.8
UBP8_HUMAN	PRKN_HUMAN	0.8
UBP8_HUMAN	UCHL1_HUMAN	0.8
UBP8_HUMAN	ID1_HUMAN	3
UBP8_HUMAN	EPAS1_HUMAN	2
UBP8_HUMAN	TRI63_HUMAN	0.8
UBP8_HUMAN	RAB3I_HUMAN	1.6
UBP8_HUMAN	NBR1_HUMAN	5
UBP8_HUMAN	SPTCS_HUMAN	0.8
UBP8_HUMAN	BIRC6_HUMAN	4.640000000000001
UBP8_HUMAN	KIF23_HUMAN	1.6400000000000001
UBP8_HUMAN	CHM1A_HUMAN	4.8
UBP8_HUMAN	KRT85_HUMAN	1.6
UBP8_HUMAN	KRT36_HUMAN	1.6
UBP8_HUMAN	K1H1_HUMAN	1.6
UBP8_HUMAN	UBP22_HUMAN	1.6
UBP8_HUMAN	FZD4_HUMAN	0.8
UBP8_HUMAN	CHM4B_HUMAN	2.72
UBP8_HUMAN	CD83_HUMAN	2.4000000000000004
UBP8_HUMAN	STAM2_HUMAN	12.240000000000004
UBP8_HUMAN	IQCF5_HUMAN	1.6
UBP8_HUMAN	PSMD4_HUMAN	0.64
UBP8_HUMAN	CHM4C_HUMAN	3.8
UBP8_HUMAN	CHM2A_HUMAN	2.44
UBP8_HUMAN	CHM2B_HUMAN	2.44
UBP8_HUMAN	CHMP3_HUMAN	0.8
UBP8_HUMAN	CHMP5_HUMAN	1.44
UBP8_HUMAN	CHMP6_HUMAN	0.8
UBP8_HUMAN	HIF1A_HUMAN	2
UBP8_HUMAN	RNF41_HUMAN	16.0
UBP8_HUMAN	DSCR9_HUMAN	0.8
UBP8_HUMAN	BTG3_HUMAN	1.6
UBP8_HUMAN	BET1_HUMAN	1.6
UBP8_HUMAN	KCNJ2_HUMAN	0.8
UBP8_HUMAN	FGFR2_HUMAN	1.6
UBP8_HUMAN	FGFR4_HUMAN	1.6
UBP8_HUMAN	NTRK1_HUMAN	2.4000000000000004
UBP8_HUMAN	PGFRA_HUMAN	1.6
UBP8_HUMAN	PGFRB_HUMAN	1.6
UBP8_HUMAN	RYK_HUMAN	1.6
UBP8_HUMAN	M3K1_HUMAN	0.8
UBP8_HUMAN	CBY1_HUMAN	1.6
UBP8_HUMAN	OSTP_HUMAN	0.8
UBP8_HUMAN	TADBP_HUMAN	3
