UniProtID	UniProtID	score
USO1_HUMAN	TRI37_HUMAN	0.8
USO1_HUMAN	SCFD1_HUMAN	7.4399999999999995
USO1_HUMAN	TRAF3_HUMAN	4.0
USO1_HUMAN	SEM4F_HUMAN	0.8
USO1_HUMAN	ACTZ_HUMAN	0.6
USO1_HUMAN	KC1D_HUMAN	0.6
USO1_HUMAN	TMED3_HUMAN	0.6
USO1_HUMAN	EFNB2_HUMAN	1.6
USO1_HUMAN	ARF3_HUMAN	0.6
USO1_HUMAN	KC1E_HUMAN	1.28
USO1_HUMAN	CAZA2_HUMAN	0.6
USO1_HUMAN	ARF4_HUMAN	0.6
USO1_HUMAN	MPRIP_HUMAN	1.28
USO1_HUMAN	SRC8_HUMAN	0.8
USO1_HUMAN	DC1L1_HUMAN	0.6
USO1_HUMAN	COPB2_HUMAN	0.6
USO1_HUMAN	RL9_HUMAN	0.8
USO1_HUMAN	MK03_HUMAN	1.0
USO1_HUMAN	WNK1_HUMAN	0.64
USO1_HUMAN	COPA_HUMAN	0.6
USO1_HUMAN	COG3_HUMAN	0.6
USO1_HUMAN	UBC12_HUMAN	0.8
USO1_HUMAN	ANK2_HUMAN	0.6
USO1_HUMAN	TPM1_HUMAN	0.64
USO1_HUMAN	CNIH3_HUMAN	0.6
USO1_HUMAN	DC1I1_HUMAN	0.6
USO1_HUMAN	ARPC2_HUMAN	1.28
USO1_HUMAN	SPTB2_HUMAN	0.6
USO1_HUMAN	SC24C_HUMAN	2.52
USO1_HUMAN	GSTK1_HUMAN	0.8
USO1_HUMAN	ARF5_HUMAN	0.6
USO1_HUMAN	CAZA1_HUMAN	0.6
USO1_HUMAN	DCTN1_HUMAN	0.64
USO1_HUMAN	FIBB_HUMAN	0.8
USO1_HUMAN	CXA1_HUMAN	0.8
USO1_HUMAN	TPPC4_HUMAN	0.6
USO1_HUMAN	TMOD1_HUMAN	1.28
USO1_HUMAN	DNJA1_HUMAN	0.8
USO1_HUMAN	SC23A_HUMAN	0.6
USO1_HUMAN	UBR4_HUMAN	0.64
USO1_HUMAN	SPTN4_HUMAN	0.6
USO1_HUMAN	MYPT1_HUMAN	1.28
USO1_HUMAN	ARFG2_HUMAN	0.6
USO1_HUMAN	ERLN1_HUMAN	1.6
USO1_HUMAN	TBA1A_HUMAN	1.28
USO1_HUMAN	CD59_HUMAN	0.6
USO1_HUMAN	SNAG_HUMAN	0.6
USO1_HUMAN	RAB1A_HUMAN	4.3999999999999995
USO1_HUMAN	PRIO_HUMAN	1.6
USO1_HUMAN	NSF_HUMAN	1.24
USO1_HUMAN	ODPA_HUMAN	2.4000000000000004
USO1_HUMAN	CADH1_HUMAN	0.8
USO1_HUMAN	ANK1_HUMAN	0.6
USO1_HUMAN	DCTN3_HUMAN	0.6
USO1_HUMAN	NP1L4_HUMAN	1.28
USO1_HUMAN	CLH1_HUMAN	2.24
USO1_HUMAN	INF2_HUMAN	0.64
USO1_HUMAN	EEA1_HUMAN	0.64
USO1_HUMAN	KAPCA_HUMAN	3.3600000000000003
USO1_HUMAN	GOSR1_HUMAN	9.639999999999999
USO1_HUMAN	SHAN3_HUMAN	1.28
