UniProtID	UniProtID	score
VATE1_HUMAN	YES_HUMAN	0.8
VATE1_HUMAN	CBL_HUMAN	0.8
VATE1_HUMAN	PICAL_HUMAN	0.8
VATE1_HUMAN	SCAM3_HUMAN	0.8
VATE1_HUMAN	TERA_HUMAN	0.8
VATE1_HUMAN	TGON2_HUMAN	1.6
VATE1_HUMAN	BCAR1_HUMAN	0.8
VATE1_HUMAN	RIT1_HUMAN	0.8
VATE1_HUMAN	A4_HUMAN	1.44
VATE1_HUMAN	TAU_HUMAN	1.28
VATE1_HUMAN	VAPA_HUMAN	1.6
VATE1_HUMAN	1433Z_HUMAN	0.64
VATE1_HUMAN	ZFR_HUMAN	0.8
VATE1_HUMAN	1433F_HUMAN	0.64
VATE1_HUMAN	YBOX1_HUMAN	0.8
VATE1_HUMAN	EGFR_HUMAN	0.8
VATE1_HUMAN	ATX1_HUMAN	0.64
VATE1_HUMAN	NEB2_HUMAN	0.64
VATE1_HUMAN	IFM1_HUMAN	0.8
VATE1_HUMAN	VATG2_HUMAN	89.43999999999983
VATE1_HUMAN	MESD_HUMAN	2.24
VATE1_HUMAN	GLUT4_HUMAN	0.64
VATE1_HUMAN	RMD3_HUMAN	1.28
VATE1_HUMAN	CHM4B_HUMAN	2.8800000000000003
VATE1_HUMAN	GOT1B_HUMAN	1.6
VATE1_HUMAN	VATC2_HUMAN	3.2
VATE1_HUMAN	PSG9_HUMAN	2.4000000000000004
VATE1_HUMAN	VPP2_HUMAN	2.4000000000000004
VATE1_HUMAN	VATB1_HUMAN	4.8
VATE1_HUMAN	TLDC2_HUMAN	2.4000000000000004
VATE1_HUMAN	RENR_HUMAN	2.4000000000000004
VATE1_HUMAN	NPC1_HUMAN	1.44
VATE1_HUMAN	LRRK2_HUMAN	0.64
VATE1_HUMAN	MED20_HUMAN	1.6
VATE1_HUMAN	VATA_HUMAN	3.84
VATE1_HUMAN	JUN_HUMAN	1.6
VATE1_HUMAN	ITM2B_HUMAN	1.28
VATE1_HUMAN	SYGP1_HUMAN	0.8
VATE1_HUMAN	VATG1_HUMAN	7.039999999999999
VATE1_HUMAN	XRCC6_HUMAN	1.6
VATE1_HUMAN	SOX4_HUMAN	0.64
VATE1_HUMAN	DEDD_HUMAN	0.8
VATE1_HUMAN	ALDOA_HUMAN	1
VATE1_HUMAN	ALDOB_HUMAN	1
VATE1_HUMAN	ALDOC_HUMAN	1
VATE1_HUMAN	HSPB2_HUMAN	0.8
VATE1_HUMAN	UBC_HUMAN	0.64
VATE1_HUMAN	TTP_HUMAN	0.8
VATE1_HUMAN	TGFB1_HUMAN	0.8
VATE1_HUMAN	SOCS2_HUMAN	1.6
VATE1_HUMAN	TFE3_HUMAN	0.64
VATE1_HUMAN	NUPR1_HUMAN	0.8
VATE1_HUMAN	VPP3_HUMAN	1.6
VATE1_HUMAN	VATD_HUMAN	19.040000000000006
VATE1_HUMAN	VATH_HUMAN	5.64
VATE1_HUMAN	VPP4_HUMAN	0.8
VATE1_HUMAN	VATB2_HUMAN	47.83999999999996
VATE1_HUMAN	TRI26_HUMAN	0.8
VATE1_HUMAN	TM192_HUMAN	0.8
VATE1_HUMAN	RHOU_HUMAN	0.8
VATE1_HUMAN	SOX2_HUMAN	0.8
VATE1_HUMAN	VPP1_HUMAN	16.000000000000004
VATE1_HUMAN	VA0D1_HUMAN	0.8
VATE1_HUMAN	VATC1_HUMAN	16.640000000000004
VATE1_HUMAN	ROGDI_HUMAN	0.8
VATE1_HUMAN	DMXL2_HUMAN	0.8
VATE1_HUMAN	WDR7_HUMAN	0.8
VATE1_HUMAN	DMXL1_HUMAN	0.8
VATE1_HUMAN	VATF_HUMAN	3.8400000000000003
VATE1_HUMAN	PYRG1_HUMAN	0.8
VATE1_HUMAN	DRG1_HUMAN	0.8
VATE1_HUMAN	SCYL1_HUMAN	0.8
VATE1_HUMAN	AURKA_HUMAN	0.8
VATE1_HUMAN	PRKN_HUMAN	0.8
VATE1_HUMAN	ZRAN1_HUMAN	0.8
VATE1_HUMAN	HS71B_HUMAN	0.8
VATE1_HUMAN	HS71A_HUMAN	0.8
VATE1_HUMAN	TRI67_HUMAN	0.8
VATE1_HUMAN	UBP48_HUMAN	0.64
VATE1_HUMAN	PJA2_HUMAN	0.8
VATE1_HUMAN	FAS_HUMAN	0.8
VATE1_HUMAN	RASK_HUMAN	0.8
VATE1_HUMAN	ARI1A_HUMAN	0.8
VATE1_HUMAN	PPIF_HUMAN	0.8
VATE1_HUMAN	LTOR3_HUMAN	0.8
VATE1_HUMAN	XPP1_HUMAN	0.8
VATE1_HUMAN	MRP2_HUMAN	0.8
VATE1_HUMAN	SCO2_HUMAN	0.8
VATE1_HUMAN	SRSF3_HUMAN	0.8
VATE1_HUMAN	ZN827_HUMAN	0.8
VATE1_HUMAN	THOC4_HUMAN	0.8
VATE1_HUMAN	SFXN1_HUMAN	0.8
VATE1_HUMAN	S10AA_HUMAN	0.8
VATE1_HUMAN	TYSY_HUMAN	0.8
VATE1_HUMAN	ZNT5_HUMAN	0.8
VATE1_HUMAN	THY1_HUMAN	0.8
VATE1_HUMAN	SSBP_HUMAN	0.8
VATE1_HUMAN	SUGP1_HUMAN	0.8
VATE1_HUMAN	DAF_HUMAN	0.8
VATE1_HUMAN	TMM43_HUMAN	0.8
VATE1_HUMAN	SAMH1_HUMAN	0.8
VATE1_HUMAN	AT1B1_HUMAN	0.8
VATE1_HUMAN	AIMP2_HUMAN	0.8
VATE1_HUMAN	AT1B3_HUMAN	0.8
VATE1_HUMAN	HMCS1_HUMAN	0.8
VATE1_HUMAN	COX41_HUMAN	0.8
VATE1_HUMAN	NDUS8_HUMAN	1.6
VATE1_HUMAN	TMOD2_HUMAN	0.8
VATE1_HUMAN	ODBA_HUMAN	0.8
VATE1_HUMAN	QCR6_HUMAN	0.8
VATE1_HUMAN	EMC8_HUMAN	0.8
VATE1_HUMAN	P4HA1_HUMAN	0.8
VATE1_HUMAN	NDUS7_HUMAN	0.8
VATE1_HUMAN	HMOX2_HUMAN	0.8
VATE1_HUMAN	CYB5B_HUMAN	0.8
VATE1_HUMAN	RCN2_HUMAN	0.8
VATE1_HUMAN	NCPR_HUMAN	0.8
VATE1_HUMAN	NDUS3_HUMAN	0.8
VATE1_HUMAN	NNTM_HUMAN	0.8
VATE1_HUMAN	LONM_HUMAN	0.8
VATE1_HUMAN	NDUS5_HUMAN	0.8
VATE1_HUMAN	LRC59_HUMAN	0.8
VATE1_HUMAN	QCR1_HUMAN	0.8
VATE1_HUMAN	SCMC1_HUMAN	0.8
VATE1_HUMAN	TFR1_HUMAN	0.8
VATE1_HUMAN	LEG9_HUMAN	0.8
VATE1_HUMAN	TP4A2_HUMAN	0.8
VATE1_HUMAN	VATE1_HUMAN	57.59999999999992
