UniProtID	UniProtID	score
VDAC1_HUMAN	DLG4_HUMAN	1.28
VDAC1_HUMAN	EF1A1_HUMAN	0.8
VDAC1_HUMAN	SYUA_HUMAN	4.96
VDAC1_HUMAN	SPTN1_HUMAN	0.8
VDAC1_HUMAN	PABP1_HUMAN	3.8400000000000007
VDAC1_HUMAN	NEDD4_HUMAN	1
VDAC1_HUMAN	DUX4_HUMAN	1.6
VDAC1_HUMAN	CLH1_HUMAN	0.8
VDAC1_HUMAN	IMB1_HUMAN	2.4000000000000004
VDAC1_HUMAN	SQSTM_HUMAN	1.8
VDAC1_HUMAN	TITIN_HUMAN	0.8
VDAC1_HUMAN	PI51C_HUMAN	1.6
VDAC1_HUMAN	GBRL2_HUMAN	1.6
VDAC1_HUMAN	NPM_HUMAN	0.8
VDAC1_HUMAN	RAF1_HUMAN	1.8
VDAC1_HUMAN	SHAN3_HUMAN	2.56
VDAC1_HUMAN	RIN3_HUMAN	0.8
VDAC1_HUMAN	RTN4_HUMAN	0.8
VDAC1_HUMAN	CUL9_HUMAN	0.8
VDAC1_HUMAN	ECT2_HUMAN	0.8
VDAC1_HUMAN	SYDC_HUMAN	2.4000000000000004
VDAC1_HUMAN	ASXL1_HUMAN	0.8
VDAC1_HUMAN	A4_HUMAN	1.6
VDAC1_HUMAN	TAU_HUMAN	0.64
VDAC1_HUMAN	MK03_HUMAN	2.64
VDAC1_HUMAN	MK01_HUMAN	1
VDAC1_HUMAN	1433E_HUMAN	5.44
VDAC1_HUMAN	4F2_HUMAN	2.4000000000000004
VDAC1_HUMAN	VAPA_HUMAN	3.2
VDAC1_HUMAN	1433Z_HUMAN	4.640000000000001
VDAC1_HUMAN	TOM40_HUMAN	1.6
VDAC1_HUMAN	CDK7_HUMAN	0.8
VDAC1_HUMAN	PRC1_HUMAN	0.8
VDAC1_HUMAN	KLF8_HUMAN	1.6
VDAC1_HUMAN	RNPS1_HUMAN	4.640000000000001
VDAC1_HUMAN	EZH2_HUMAN	0.8
VDAC1_HUMAN	PMEPA_HUMAN	0.8
VDAC1_HUMAN	SCYL2_HUMAN	1.6
VDAC1_HUMAN	ITPR1_HUMAN	3.8
VDAC1_HUMAN	LMNB1_HUMAN	3.8400000000000007
VDAC1_HUMAN	FGFR1_HUMAN	0.8
VDAC1_HUMAN	FMNL1_HUMAN	0.8
VDAC1_HUMAN	BIP_HUMAN	0.8
VDAC1_HUMAN	RB11A_HUMAN	0.8
VDAC1_HUMAN	CTBP1_HUMAN	1.6
VDAC1_HUMAN	PSN1_HUMAN	1.44
VDAC1_HUMAN	B2CL1_HUMAN	8.64
VDAC1_HUMAN	PP1A_HUMAN	1.28
VDAC1_HUMAN	HD_HUMAN	4.16
VDAC1_HUMAN	VAV_HUMAN	0.8
VDAC1_HUMAN	SIAH2_HUMAN	0.8
VDAC1_HUMAN	NDKB_HUMAN	0.8
VDAC1_HUMAN	KINH_HUMAN	1.6
VDAC1_HUMAN	EGFR_HUMAN	0.8
VDAC1_HUMAN	AKAP1_HUMAN	0.8
VDAC1_HUMAN	MARE1_HUMAN	0.8
VDAC1_HUMAN	MAP1B_HUMAN	0.8
VDAC1_HUMAN	GCR_HUMAN	0.8
VDAC1_HUMAN	CD4_HUMAN	0.8
VDAC1_HUMAN	ENPL_HUMAN	3.2
VDAC1_HUMAN	NEB2_HUMAN	0.64
VDAC1_HUMAN	KPCZ_HUMAN	1.6
VDAC1_HUMAN	FLOT2_HUMAN	0.8
VDAC1_HUMAN	IFM1_HUMAN	0.8
VDAC1_HUMAN	SAFB1_HUMAN	4.640000000000001
VDAC1_HUMAN	CSK2B_HUMAN	2.24
VDAC1_HUMAN	MIC60_HUMAN	5.44
VDAC1_HUMAN	ANDR_HUMAN	0.8
VDAC1_HUMAN	ELAV1_HUMAN	4.0
VDAC1_HUMAN	LDHA_HUMAN	2.4000000000000004
VDAC1_HUMAN	PHB2_HUMAN	0.8
VDAC1_HUMAN	RAB5A_HUMAN	0.8
VDAC1_HUMAN	UBC_HUMAN	1.44
VDAC1_HUMAN	CDK1_HUMAN	3.2
VDAC1_HUMAN	PERI_HUMAN	4.640000000000001
VDAC1_HUMAN	ARF1_HUMAN	2.4000000000000004
VDAC1_HUMAN	KCMA1_HUMAN	1.28
VDAC1_HUMAN	TBA1B_HUMAN	2.64
VDAC1_HUMAN	XRCC6_HUMAN	2.4000000000000004
VDAC1_HUMAN	EF1G_HUMAN	4.0
VDAC1_HUMAN	CHD3_HUMAN	0.8
VDAC1_HUMAN	SUMO3_HUMAN	0.64
VDAC1_HUMAN	FAS_HUMAN	0.8
VDAC1_HUMAN	KAPCA_HUMAN	0.8
VDAC1_HUMAN	FKBP8_HUMAN	0.8
VDAC1_HUMAN	BCL2_HUMAN	2
VDAC1_HUMAN	TRAF6_HUMAN	1.6
VDAC1_HUMAN	CXA1_HUMAN	0.64
VDAC1_HUMAN	VPS35_HUMAN	0.8
VDAC1_HUMAN	RL40_HUMAN	3.6800000000000006
VDAC1_HUMAN	CALX_HUMAN	4.0
VDAC1_HUMAN	MUC18_HUMAN	0.8
VDAC1_HUMAN	HLAB_HUMAN	0.8
VDAC1_HUMAN	ACTB_HUMAN	1.6
VDAC1_HUMAN	RL28_HUMAN	4.640000000000001
VDAC1_HUMAN	VIGLN_HUMAN	0.8
VDAC1_HUMAN	KCNA3_HUMAN	0.64
VDAC1_HUMAN	IKKB_HUMAN	1
VDAC1_HUMAN	GELS_HUMAN	3
VDAC1_HUMAN	PROF1_HUMAN	1.6
VDAC1_HUMAN	DYLT1_HUMAN	2
VDAC1_HUMAN	PRDX6_HUMAN	3.2
VDAC1_HUMAN	BIRC3_HUMAN	0.8
VDAC1_HUMAN	ATPB_HUMAN	1.6
VDAC1_HUMAN	TOM70_HUMAN	0.64
VDAC1_HUMAN	TOP2A_HUMAN	2.4000000000000004
VDAC1_HUMAN	PAF1_HUMAN	1.6
VDAC1_HUMAN	PPT1_HUMAN	0.8
VDAC1_HUMAN	TBA1A_HUMAN	1.44
VDAC1_HUMAN	TPM1_HUMAN	3.2
VDAC1_HUMAN	EZRI_HUMAN	0.8
VDAC1_HUMAN	PLIN3_HUMAN	0.8
VDAC1_HUMAN	TRAF2_HUMAN	1
VDAC1_HUMAN	NP1L1_HUMAN	1.6
VDAC1_HUMAN	AT2B1_HUMAN	0.8
VDAC1_HUMAN	RPN1_HUMAN	4.8
VDAC1_HUMAN	PSA3_HUMAN	0.8
VDAC1_HUMAN	ECHB_HUMAN	2.4000000000000004
VDAC1_HUMAN	PPIA_HUMAN	4.640000000000001
VDAC1_HUMAN	SYGP1_HUMAN	0.8
VDAC1_HUMAN	TRI37_HUMAN	0.8
VDAC1_HUMAN	ACACA_HUMAN	0.8
VDAC1_HUMAN	AT1A3_HUMAN	0.8
VDAC1_HUMAN	PDLI5_HUMAN	0.64
VDAC1_HUMAN	NOVA1_HUMAN	0.64
VDAC1_HUMAN	F162A_HUMAN	2
VDAC1_HUMAN	AT1A1_HUMAN	4.0
VDAC1_HUMAN	PRKN_HUMAN	9.040000000000001
VDAC1_HUMAN	RAB1A_HUMAN	0.8
VDAC1_HUMAN	RAB14_HUMAN	0.8
VDAC1_HUMAN	EF2_HUMAN	2.4000000000000004
VDAC1_HUMAN	GBB1_HUMAN	0.8
VDAC1_HUMAN	TBB2A_HUMAN	0.8
VDAC1_HUMAN	PARK7_HUMAN	1.8
VDAC1_HUMAN	FAF1_HUMAN	0.8
VDAC1_HUMAN	NDUBA_HUMAN	0.8
VDAC1_HUMAN	QCR1_HUMAN	1.6
VDAC1_HUMAN	GRM2_HUMAN	0.8
VDAC1_HUMAN	ESR2_HUMAN	0.8
VDAC1_HUMAN	CHIP_HUMAN	2.6
VDAC1_HUMAN	A2MG_HUMAN	0.8
VDAC1_HUMAN	H10_HUMAN	3.8400000000000007
VDAC1_HUMAN	GSTK1_HUMAN	0.8
VDAC1_HUMAN	AAKB1_HUMAN	1.28
VDAC1_HUMAN	ETFA_HUMAN	1.6
VDAC1_HUMAN	NDUB9_HUMAN	0.8
VDAC1_HUMAN	CHM4B_HUMAN	1.6
VDAC1_HUMAN	NUDC_HUMAN	0.8
VDAC1_HUMAN	AT5F1_HUMAN	1.6
VDAC1_HUMAN	COPE_HUMAN	2.4000000000000004
VDAC1_HUMAN	BASI_HUMAN	4.0
VDAC1_HUMAN	RL12_HUMAN	4.0
VDAC1_HUMAN	VGLU1_HUMAN	0.64
VDAC1_HUMAN	CRCM_HUMAN	1.6
VDAC1_HUMAN	AAPK1_HUMAN	2.56
VDAC1_HUMAN	RHEB_HUMAN	0.64
VDAC1_HUMAN	PPM1B_HUMAN	2.4000000000000004
VDAC1_HUMAN	HDAC5_HUMAN	0.8
VDAC1_HUMAN	NTRK1_HUMAN	0.8
VDAC1_HUMAN	KCRB_HUMAN	1.6
VDAC1_HUMAN	AIFM1_HUMAN	3.6799999999999997
VDAC1_HUMAN	CKAP4_HUMAN	0.8
VDAC1_HUMAN	APOE_HUMAN	3.2
VDAC1_HUMAN	RMD3_HUMAN	1.28
VDAC1_HUMAN	SAP18_HUMAN	3.2
VDAC1_HUMAN	RFA1_HUMAN	0.8
VDAC1_HUMAN	RFA2_HUMAN	0.8
VDAC1_HUMAN	RFA3_HUMAN	0.8
VDAC1_HUMAN	B2L11_HUMAN	2.6
VDAC1_HUMAN	PCSK6_HUMAN	1.6
VDAC1_HUMAN	QCR2_HUMAN	6.24
VDAC1_HUMAN	BAG3_HUMAN	1.44
VDAC1_HUMAN	RAB2A_HUMAN	3.2
VDAC1_HUMAN	RNF8_HUMAN	0.8
VDAC1_HUMAN	TPM3_HUMAN	4.640000000000001
VDAC1_HUMAN	CH60_HUMAN	0.8
VDAC1_HUMAN	ADT3_HUMAN	4.2
VDAC1_HUMAN	GLPK_HUMAN	0.8
VDAC1_HUMAN	ECHA_HUMAN	2.4000000000000004
VDAC1_HUMAN	HG2A_HUMAN	0.8
VDAC1_HUMAN	BAK_HUMAN	2
VDAC1_HUMAN	RPN2_HUMAN	2.4000000000000004
VDAC1_HUMAN	TMED2_HUMAN	1.28
VDAC1_HUMAN	RL35_HUMAN	1.6
VDAC1_HUMAN	EWS_HUMAN	0.8
VDAC1_HUMAN	SAFB2_HUMAN	4.0
VDAC1_HUMAN	GPX4_HUMAN	0.8
VDAC1_HUMAN	GRP75_HUMAN	2
VDAC1_HUMAN	JUN_HUMAN	0.8
VDAC1_HUMAN	MRP1_HUMAN	0.8
VDAC1_HUMAN	COX2_HUMAN	3.2
VDAC1_HUMAN	MYC_HUMAN	2.4000000000000004
VDAC1_HUMAN	RL30_HUMAN	4.0
VDAC1_HUMAN	RCN2_HUMAN	1.6
VDAC1_HUMAN	STIP1_HUMAN	0.8
VDAC1_HUMAN	SYNPO_HUMAN	0.8
VDAC1_HUMAN	STOM_HUMAN	2.4000000000000004
VDAC1_HUMAN	COR1C_HUMAN	0.8
VDAC1_HUMAN	CHM4C_HUMAN	0.8
VDAC1_HUMAN	PRDX3_HUMAN	2.4000000000000004
VDAC1_HUMAN	THIO_HUMAN	2.4000000000000004
VDAC1_HUMAN	RIF1_HUMAN	1.6
VDAC1_HUMAN	VATA_HUMAN	1.6
VDAC1_HUMAN	GBB2_HUMAN	0.8
VDAC1_HUMAN	ODPB_HUMAN	4.640000000000001
VDAC1_HUMAN	AATM_HUMAN	0.8
VDAC1_HUMAN	AT1B1_HUMAN	1.6
VDAC1_HUMAN	CAV2_HUMAN	2.4000000000000004
VDAC1_HUMAN	IF6_HUMAN	0.8
VDAC1_HUMAN	WLS_HUMAN	1.6
VDAC1_HUMAN	GLUT4_HUMAN	0.64
VDAC1_HUMAN	ICT1_HUMAN	1.6
VDAC1_HUMAN	ATF2_HUMAN	3.5999999999999996
VDAC1_HUMAN	LRRK2_HUMAN	3.4000000000000004
VDAC1_HUMAN	MK06_HUMAN	1.6
VDAC1_HUMAN	RAB5C_HUMAN	2.8800000000000003
VDAC1_HUMAN	MYO19_HUMAN	1.6
VDAC1_HUMAN	RAB7A_HUMAN	3.2
VDAC1_HUMAN	TM109_HUMAN	1.28
VDAC1_HUMAN	MTX2_HUMAN	1.28
VDAC1_HUMAN	EMC5_HUMAN	2.4000000000000004
VDAC1_HUMAN	FGOP2_HUMAN	1.6
VDAC1_HUMAN	INT14_HUMAN	1.6
VDAC1_HUMAN	GOT1B_HUMAN	1.6
VDAC1_HUMAN	BOP_HUMAN	1.8
VDAC1_HUMAN	NMES1_HUMAN	0.8
VDAC1_HUMAN	MET14_HUMAN	1.6
VDAC1_HUMAN	PRD16_HUMAN	0.64
VDAC1_HUMAN	MECOM_HUMAN	0.64
VDAC1_HUMAN	SH3L1_HUMAN	1.6
VDAC1_HUMAN	CAV1_HUMAN	2.6
VDAC1_HUMAN	ZDHC5_HUMAN	0.8
VDAC1_HUMAN	DJC11_HUMAN	3.2
VDAC1_HUMAN	ZBT18_HUMAN	0.8
VDAC1_HUMAN	MOT11_HUMAN	1.6
VDAC1_HUMAN	DCAF4_HUMAN	2.4000000000000004
VDAC1_HUMAN	RMC1_HUMAN	1.6
VDAC1_HUMAN	BAX_HUMAN	5.4
VDAC1_HUMAN	HXK1_HUMAN	5.199999999999999
VDAC1_HUMAN	VCAM1_HUMAN	4.0
VDAC1_HUMAN	VDAC1_HUMAN	24
VDAC1_HUMAN	COX15_HUMAN	1.6
VDAC1_HUMAN	SOAT1_HUMAN	1.6
VDAC1_HUMAN	DCD_HUMAN	3.2
VDAC1_HUMAN	DNJC9_HUMAN	2.4000000000000004
VDAC1_HUMAN	CHTOP_HUMAN	4.640000000000001
VDAC1_HUMAN	BOLA2_HUMAN	2.4000000000000004
VDAC1_HUMAN	ML12A_HUMAN	4.0
VDAC1_HUMAN	TOM22_HUMAN	3.2
VDAC1_HUMAN	H2A1B_HUMAN	4.0
VDAC1_HUMAN	ADT1_HUMAN	3.2
VDAC1_HUMAN	MIC19_HUMAN	4.640000000000001
VDAC1_HUMAN	RUXGL_HUMAN	2.4000000000000004
VDAC1_HUMAN	SFXN1_HUMAN	5.44
VDAC1_HUMAN	NDUA5_HUMAN	2.4000000000000004
VDAC1_HUMAN	ADT2_HUMAN	4.640000000000001
VDAC1_HUMAN	CX7A2_HUMAN	1.6
VDAC1_HUMAN	BAF_HUMAN	1.6
VDAC1_HUMAN	H2B1C_HUMAN	6.3999999999999995
VDAC1_HUMAN	VDAC3_HUMAN	6.3999999999999995
VDAC1_HUMAN	PPM1A_HUMAN	1.6
VDAC1_HUMAN	VDAC2_HUMAN	8.04
VDAC1_HUMAN	H1X_HUMAN	4.0
VDAC1_HUMAN	PGRC1_HUMAN	2.4000000000000004
VDAC1_HUMAN	RL36_HUMAN	4.640000000000001
VDAC1_HUMAN	ATP5H_HUMAN	1.6
VDAC1_HUMAN	ERH_HUMAN	1.6
VDAC1_HUMAN	MOB2_HUMAN	1.6
VDAC1_HUMAN	RL27_HUMAN	2.4000000000000004
VDAC1_HUMAN	XRCC5_HUMAN	2.4000000000000004
VDAC1_HUMAN	D19L1_HUMAN	2.4000000000000004
VDAC1_HUMAN	COX41_HUMAN	2.4000000000000004
VDAC1_HUMAN	STML2_HUMAN	4.0
VDAC1_HUMAN	EMD_HUMAN	4.0
VDAC1_HUMAN	RMXL2_HUMAN	3.2
VDAC1_HUMAN	ILF2_HUMAN	4.640000000000001
VDAC1_HUMAN	COX5A_HUMAN	2.4000000000000004
VDAC1_HUMAN	S25A3_HUMAN	5.44
VDAC1_HUMAN	DKC1_HUMAN	3.2
VDAC1_HUMAN	FBRL_HUMAN	4.640000000000001
VDAC1_HUMAN	SERPH_HUMAN	4.0
VDAC1_HUMAN	IMDH2_HUMAN	1.6
VDAC1_HUMAN	SSRD_HUMAN	3.2
VDAC1_HUMAN	ATD3A_HUMAN	4.0
VDAC1_HUMAN	ATPK_HUMAN	1.6
VDAC1_HUMAN	NDUS1_HUMAN	4.640000000000001
VDAC1_HUMAN	ATPG_HUMAN	6.24
VDAC1_HUMAN	NOP56_HUMAN	3.04
VDAC1_HUMAN	SSBP_HUMAN	3.2
VDAC1_HUMAN	ATPO_HUMAN	4.640000000000001
VDAC1_HUMAN	NOP58_HUMAN	4.640000000000001
VDAC1_HUMAN	TRAP1_HUMAN	2.4000000000000004
VDAC1_HUMAN	RUVB1_HUMAN	2.4000000000000004
VDAC1_HUMAN	SPIN1_HUMAN	1.6
VDAC1_HUMAN	MCA3_HUMAN	1.6
VDAC1_HUMAN	SURF6_HUMAN	2.4000000000000004
VDAC1_HUMAN	HNRDL_HUMAN	3.2
VDAC1_HUMAN	NDUV2_HUMAN	1.6
VDAC1_HUMAN	SF3B6_HUMAN	4.640000000000001
VDAC1_HUMAN	H2AV_HUMAN	3.2
VDAC1_HUMAN	NDUS3_HUMAN	2.4000000000000004
VDAC1_HUMAN	CLCC1_HUMAN	1.6
VDAC1_HUMAN	ODPA_HUMAN	2.4000000000000004
VDAC1_HUMAN	H2AY_HUMAN	3.8400000000000007
VDAC1_HUMAN	SSRP1_HUMAN	2.4000000000000004
VDAC1_HUMAN	TKT_HUMAN	1.6
VDAC1_HUMAN	CBX3_HUMAN	4.0
VDAC1_HUMAN	ERLN2_HUMAN	1.6
VDAC1_HUMAN	ERLN1_HUMAN	1.6
VDAC1_HUMAN	RL1D1_HUMAN	3.2
VDAC1_HUMAN	AAAT_HUMAN	2.4000000000000004
VDAC1_HUMAN	LA_HUMAN	2.4000000000000004
VDAC1_HUMAN	TR150_HUMAN	4.0
VDAC1_HUMAN	CBX1_HUMAN	3.2
VDAC1_HUMAN	DDX21_HUMAN	4.0
VDAC1_HUMAN	RM12_HUMAN	1.6
VDAC1_HUMAN	SP16H_HUMAN	2.4000000000000004
VDAC1_HUMAN	S2513_HUMAN	4.0
VDAC1_HUMAN	LMNB2_HUMAN	2.4000000000000004
VDAC1_HUMAN	HORN_HUMAN	2.4000000000000004
VDAC1_HUMAN	TPIS_HUMAN	2.4000000000000004
VDAC1_HUMAN	HP1B3_HUMAN	3.8400000000000007
