UniProtID	UniProtID	score
VHL_HUMAN	LRC59_HUMAN	0.8
VHL_HUMAN	TRI37_HUMAN	0.6
VHL_HUMAN	ADRB2_HUMAN	1.0
VHL_HUMAN	KS6B1_HUMAN	0.8
VHL_HUMAN	USP9X_HUMAN	3.0
VHL_HUMAN	KPCI_HUMAN	1.0
VHL_HUMAN	TBA4A_HUMAN	0.8
VHL_HUMAN	FAS_HUMAN	3.4000000000000004
VHL_HUMAN	RAB14_HUMAN	0.8
VHL_HUMAN	RL6_HUMAN	2.0
VHL_HUMAN	TCPZ_HUMAN	0.8
VHL_HUMAN	RS17_HUMAN	0.8
VHL_HUMAN	RS16_HUMAN	0.8
VHL_HUMAN	TCPB_HUMAN	0.8
VHL_HUMAN	KPCD_HUMAN	4.0
VHL_HUMAN	RS5_HUMAN	0.8
VHL_HUMAN	NEDD4_HUMAN	0.6
VHL_HUMAN	PPIB_HUMAN	1.6
VHL_HUMAN	LANC1_HUMAN	0.8
VHL_HUMAN	RSSA_HUMAN	0.8
VHL_HUMAN	COX5A_HUMAN	0.8
VHL_HUMAN	LRSM1_HUMAN	0.6
VHL_HUMAN	RL37A_HUMAN	0.8
VHL_HUMAN	RS27L_HUMAN	0.8
VHL_HUMAN	KIFA3_HUMAN	2.6
VHL_HUMAN	PGRC1_HUMAN	0.8
VHL_HUMAN	RL35_HUMAN	0.8
VHL_HUMAN	PSMD1_HUMAN	0.6
VHL_HUMAN	TCTP_HUMAN	6.239999999999999
VHL_HUMAN	KIF2C_HUMAN	0.8
VHL_HUMAN	UBC12_HUMAN	1.4
VHL_HUMAN	PRS6A_HUMAN	3.6
VHL_HUMAN	EF1B_HUMAN	0.8
VHL_HUMAN	EGLN1_HUMAN	3.8400000000000003
VHL_HUMAN	RB11A_HUMAN	0.8
VHL_HUMAN	UBA1_HUMAN	0.6
VHL_HUMAN	CUL5_HUMAN	1.4
VHL_HUMAN	UTRN_HUMAN	0.8
VHL_HUMAN	RL23A_HUMAN	0.8
VHL_HUMAN	RS6_HUMAN	3.0
VHL_HUMAN	UBE3C_HUMAN	0.6
VHL_HUMAN	RS3_HUMAN	3.8
VHL_HUMAN	RL18A_HUMAN	1.6
VHL_HUMAN	DNJA3_HUMAN	2.8
VHL_HUMAN	PARP1_HUMAN	0.8
VHL_HUMAN	KPCZ_HUMAN	6.8
VHL_HUMAN	PUR9_HUMAN	0.8
VHL_HUMAN	RL10A_HUMAN	0.8
VHL_HUMAN	RL29_HUMAN	0.8
VHL_HUMAN	RL7A_HUMAN	0.8
VHL_HUMAN	SSRA_HUMAN	0.8
VHL_HUMAN	EF1D_HUMAN	0.8
VHL_HUMAN	RS15A_HUMAN	1.6
VHL_HUMAN	UBC_HUMAN	4.4
VHL_HUMAN	RS19_HUMAN	0.8
VHL_HUMAN	PIMT_HUMAN	1.6
VHL_HUMAN	DCTN1_HUMAN	0.8
VHL_HUMAN	G6PD_HUMAN	1.0
VHL_HUMAN	SRPRB_HUMAN	0.8
VHL_HUMAN	UBE2N_HUMAN	1.4
VHL_HUMAN	PTEN_HUMAN	0.8
VHL_HUMAN	DIRA2_HUMAN	2.0
VHL_HUMAN	DNJA1_HUMAN	0.8
VHL_HUMAN	BASI_HUMAN	0.8
VHL_HUMAN	RAB35_HUMAN	0.8
VHL_HUMAN	STK38_HUMAN	0.8
VHL_HUMAN	ITA5_HUMAN	1.0
VHL_HUMAN	UBR4_HUMAN	0.6
