UniProtID	UniProtID	score
VIME_HUMAN	SYNJ1_HUMAN	0.8
VIME_HUMAN	GRB2_HUMAN	2.4000000000000004
VIME_HUMAN	PAK2_HUMAN	0.64
VIME_HUMAN	SRBS1_HUMAN	0.8
VIME_HUMAN	PTN22_HUMAN	1.6
VIME_HUMAN	SH3G3_HUMAN	1.6
VIME_HUMAN	DOCK4_HUMAN	0.8
VIME_HUMAN	PRAF1_HUMAN	1.6
VIME_HUMAN	SYUA_HUMAN	1.8
VIME_HUMAN	OTUB2_HUMAN	0.8
VIME_HUMAN	SCRIB_HUMAN	0.8
VIME_HUMAN	F163A_HUMAN	2.4000000000000004
VIME_HUMAN	ERBIN_HUMAN	0.64
VIME_HUMAN	ACTN1_HUMAN	0.8
VIME_HUMAN	RD23A_HUMAN	1.6
VIME_HUMAN	SH3G1_HUMAN	2.4000000000000004
VIME_HUMAN	LASP1_HUMAN	0.8
VIME_HUMAN	SPTN1_HUMAN	2
VIME_HUMAN	CBL_HUMAN	1.8
VIME_HUMAN	WEE1_HUMAN	1.6
VIME_HUMAN	ESS2_HUMAN	2.4000000000000004
VIME_HUMAN	YAP1_HUMAN	1.6
VIME_HUMAN	CNKR2_HUMAN	1.6
VIME_HUMAN	DCTN1_HUMAN	1.8
VIME_HUMAN	DUX4_HUMAN	2.4000000000000004
VIME_HUMAN	CLH1_HUMAN	0.8
VIME_HUMAN	ARRB2_HUMAN	2.4000000000000004
VIME_HUMAN	P53_HUMAN	1.6
VIME_HUMAN	K1671_HUMAN	0.8
VIME_HUMAN	PLEC_HUMAN	2.8
VIME_HUMAN	UBP7_HUMAN	0.8
VIME_HUMAN	MLP3B_HUMAN	1.6
VIME_HUMAN	PRUN2_HUMAN	2.4000000000000004
VIME_HUMAN	MLP3A_HUMAN	0.8
VIME_HUMAN	SP1_HUMAN	0.8
VIME_HUMAN	SQSTM_HUMAN	3.44
VIME_HUMAN	DPPA4_HUMAN	1.6
VIME_HUMAN	NUMB_HUMAN	1
VIME_HUMAN	GBRAP_HUMAN	0.8
VIME_HUMAN	RESF1_HUMAN	1.6
VIME_HUMAN	GBRL1_HUMAN	0.8
VIME_HUMAN	GBRL2_HUMAN	0.8
VIME_HUMAN	NPM_HUMAN	0.8
VIME_HUMAN	SFPQ_HUMAN	1.8
VIME_HUMAN	TERA_HUMAN	1.6
VIME_HUMAN	ATX3_HUMAN	0.8
VIME_HUMAN	GOPC_HUMAN	1.6
VIME_HUMAN	RAF1_HUMAN	0.8
VIME_HUMAN	ASB16_HUMAN	0.8
VIME_HUMAN	TGON2_HUMAN	0.8
VIME_HUMAN	GNS_HUMAN	0.8
VIME_HUMAN	SHAN3_HUMAN	1.6
VIME_HUMAN	RIN3_HUMAN	0.8
VIME_HUMAN	SYNJ2_HUMAN	0.8
VIME_HUMAN	BRD4_HUMAN	0.8
VIME_HUMAN	GCFC2_HUMAN	1.6
VIME_HUMAN	ABL2_HUMAN	0.8
VIME_HUMAN	THOC2_HUMAN	0.8
VIME_HUMAN	TRAIP_HUMAN	0.64
VIME_HUMAN	HDAC6_HUMAN	0.8
VIME_HUMAN	ECT2_HUMAN	0.8
VIME_HUMAN	ASXL1_HUMAN	0.8
VIME_HUMAN	ANK2_HUMAN	0.8
VIME_HUMAN	RAB8B_HUMAN	1.44
VIME_HUMAN	LY6D_HUMAN	0.8
VIME_HUMAN	TNR14_HUMAN	1.6
VIME_HUMAN	KCNQ1_HUMAN	0.64
VIME_HUMAN	MP2K5_HUMAN	1.6
VIME_HUMAN	XRCC4_HUMAN	1.6
VIME_HUMAN	A4_HUMAN	0.8
VIME_HUMAN	1433S_HUMAN	1.6
VIME_HUMAN	MK03_HUMAN	1.44
VIME_HUMAN	1433E_HUMAN	1.6
VIME_HUMAN	PP1G_HUMAN	0.8
VIME_HUMAN	ARRB1_HUMAN	3.04
VIME_HUMAN	BAG1_HUMAN	0.8
VIME_HUMAN	HSP7C_HUMAN	0.8
VIME_HUMAN	DYL1_HUMAN	1.28
VIME_HUMAN	1433Z_HUMAN	6.2
VIME_HUMAN	P3C2A_HUMAN	0.8
VIME_HUMAN	RC3H1_HUMAN	2.24
VIME_HUMAN	UBF1_HUMAN	1.6
VIME_HUMAN	PRC1_HUMAN	0.8
VIME_HUMAN	RARA_HUMAN	0.64
VIME_HUMAN	ZN217_HUMAN	0.8
VIME_HUMAN	C2D1A_HUMAN	0.8
VIME_HUMAN	EZH2_HUMAN	0.8
VIME_HUMAN	ATN1_HUMAN	0.8
VIME_HUMAN	SNW1_HUMAN	2.4000000000000004
VIME_HUMAN	SCYL2_HUMAN	0.8
VIME_HUMAN	PASK_HUMAN	1.28
VIME_HUMAN	RS6_HUMAN	1.6
VIME_HUMAN	HSPB1_HUMAN	2.4000000000000004
VIME_HUMAN	PEPL_HUMAN	11.200000000000001
VIME_HUMAN	DPYL1_HUMAN	4.8
VIME_HUMAN	CHD3_HUMAN	2.4000000000000004
VIME_HUMAN	NFL_HUMAN	9.0
VIME_HUMAN	UT14A_HUMAN	1.6
VIME_HUMAN	VIME_HUMAN	209.60000000000002
VIME_HUMAN	SETB1_HUMAN	1.6
VIME_HUMAN	CSN6_HUMAN	0.8
VIME_HUMAN	KAT7_HUMAN	6.3999999999999995
VIME_HUMAN	ZHX1_HUMAN	1.6
VIME_HUMAN	PPHLN_HUMAN	1.6
