UniProtID	UniProtID	score
VPS29_HUMAN	EF1A1_HUMAN	1.28
VPS29_HUMAN	ANR50_HUMAN	0.8
VPS29_HUMAN	DCTN1_HUMAN	1.44
VPS29_HUMAN	UBP7_HUMAN	1.6400000000000001
VPS29_HUMAN	SQSTM_HUMAN	0.8
VPS29_HUMAN	ATG9A_HUMAN	2
VPS29_HUMAN	SNX3_HUMAN	1.6
VPS29_HUMAN	DNLI3_HUMAN	0.8
VPS29_HUMAN	A4_HUMAN	1.6
VPS29_HUMAN	ZFR_HUMAN	0.8
VPS29_HUMAN	INSR_HUMAN	0.64
VPS29_HUMAN	EGFR_HUMAN	0.8
VPS29_HUMAN	KAP0_HUMAN	1.6
VPS29_HUMAN	TOLIP_HUMAN	0.8
VPS29_HUMAN	MED23_HUMAN	0.8
VPS29_HUMAN	UBL7_HUMAN	0.8
VPS29_HUMAN	GRHPR_HUMAN	0.8
VPS29_HUMAN	NEK1_HUMAN	0.8
VPS29_HUMAN	DYR1A_HUMAN	0.8
VPS29_HUMAN	CXA1_HUMAN	0.64
VPS29_HUMAN	VPS35_HUMAN	71.55999999999995
VPS29_HUMAN	VIGLN_HUMAN	0.8
VPS29_HUMAN	TBCD_HUMAN	1.44
VPS29_HUMAN	SNX1_HUMAN	3.04
VPS29_HUMAN	SNX5_HUMAN	1.44
VPS29_HUMAN	STAT1_HUMAN	0.8
VPS29_HUMAN	SAP_HUMAN	0.8
VPS29_HUMAN	NBL1_HUMAN	0.8
VPS29_HUMAN	FPPS_HUMAN	0.8
VPS29_HUMAN	HS71B_HUMAN	0.8
VPS29_HUMAN	HS71A_HUMAN	0.8
VPS29_HUMAN	SNX6_HUMAN	2.24
VPS29_HUMAN	PUF60_HUMAN	0.8
VPS29_HUMAN	RASK_HUMAN	0.8
VPS29_HUMAN	PRKN_HUMAN	0.8
VPS29_HUMAN	CCD93_HUMAN	7.999999999999999
VPS29_HUMAN	TRIM9_HUMAN	0.64
VPS29_HUMAN	SNX2_HUMAN	4.640000000000001
VPS29_HUMAN	SC24D_HUMAN	0.8
VPS29_HUMAN	DC1I2_HUMAN	0.8
VPS29_HUMAN	VAMP7_HUMAN	0.8
VPS29_HUMAN	COMD1_HUMAN	4.0
VPS29_HUMAN	CAZA2_HUMAN	1.44
VPS29_HUMAN	SSR3_HUMAN	0.64
VPS29_HUMAN	NUDC_HUMAN	1.44
VPS29_HUMAN	ATG12_HUMAN	0.64
VPS29_HUMAN	UBE4B_HUMAN	0.8
