UniProtID	UniProtID	score
WASF1_HUMAN	SRBS2_HUMAN	3
WASF1_HUMAN	GRB2_HUMAN	3.2
WASF1_HUMAN	NCK1_HUMAN	1.44
WASF1_HUMAN	ABL1_HUMAN	6
WASF1_HUMAN	NCK2_HUMAN	6.3999999999999995
WASF1_HUMAN	SRGP3_HUMAN	0.64
WASF1_HUMAN	RAC3_HUMAN	0.8
WASF1_HUMAN	LNX1_HUMAN	0.64
WASF1_HUMAN	NMDE2_HUMAN	0.64
WASF1_HUMAN	TRI25_HUMAN	0.8
WASF1_HUMAN	BSN_HUMAN	0.8
WASF1_HUMAN	WASF2_HUMAN	2.24
WASF1_HUMAN	MPDZ_HUMAN	0.8
WASF1_HUMAN	PROF2_HUMAN	2.44
WASF1_HUMAN	SHAN3_HUMAN	3.3600000000000003
WASF1_HUMAN	DLGP1_HUMAN	1.92
WASF1_HUMAN	WASL_HUMAN	0.8
WASF1_HUMAN	BAD_HUMAN	0.8
WASF1_HUMAN	TNIK_HUMAN	1.28
WASF1_HUMAN	P85A_HUMAN	3.3600000000000003
WASF1_HUMAN	1433E_HUMAN	0.8
WASF1_HUMAN	1433Z_HUMAN	0.8
WASF1_HUMAN	BAIP2_HUMAN	5.6
WASF1_HUMAN	CAD23_HUMAN	1.6
WASF1_HUMAN	FGFR1_HUMAN	1.6
WASF1_HUMAN	1433F_HUMAN	1.6
WASF1_HUMAN	IGF1R_HUMAN	1.6
WASF1_HUMAN	1433B_HUMAN	1.6
WASF1_HUMAN	KCNK3_HUMAN	0.8
WASF1_HUMAN	1433G_HUMAN	2.4000000000000004
WASF1_HUMAN	GCR_HUMAN	0.8
WASF1_HUMAN	NEB2_HUMAN	0.64
WASF1_HUMAN	RAC1_HUMAN	6.4399999999999995
WASF1_HUMAN	MYO16_HUMAN	0.64
WASF1_HUMAN	ABI1_HUMAN	8.639999999999999
WASF1_HUMAN	UBC_HUMAN	0.64
WASF1_HUMAN	NTRK2_HUMAN	0.64
WASF1_HUMAN	PR40A_HUMAN	0.8
WASF1_HUMAN	ING5_HUMAN	3.2
WASF1_HUMAN	ABI2_HUMAN	24.640000000000004
WASF1_HUMAN	CIP4_HUMAN	6.079999999999999
WASF1_HUMAN	KAPCA_HUMAN	1
WASF1_HUMAN	EPHB2_HUMAN	1.6
WASF1_HUMAN	TIM50_HUMAN	0.8
WASF1_HUMAN	PTN12_HUMAN	1
WASF1_HUMAN	ACTG_HUMAN	0.8
WASF1_HUMAN	ACTB_HUMAN	1.6
WASF1_HUMAN	GNAI3_HUMAN	1.6
WASF1_HUMAN	PROF1_HUMAN	5.4399999999999995
WASF1_HUMAN	RAC2_HUMAN	0.8
WASF1_HUMAN	KAP2_HUMAN	1
WASF1_HUMAN	BRK1_HUMAN	22.640000000000004
WASF1_HUMAN	TRAF2_HUMAN	3.2
WASF1_HUMAN	SRCN1_HUMAN	0.64
WASF1_HUMAN	PTEN_HUMAN	0.64
WASF1_HUMAN	HOME1_HUMAN	1.28
WASF1_HUMAN	SYGP1_HUMAN	0.8
WASF1_HUMAN	GBB1_HUMAN	1.6
WASF1_HUMAN	MYOME_HUMAN	1.28
WASF1_HUMAN	TRIM9_HUMAN	0.64
WASF1_HUMAN	FNBP1_HUMAN	0.64
WASF1_HUMAN	TSC1_HUMAN	1.28
WASF1_HUMAN	NCKP1_HUMAN	15.600000000000001
WASF1_HUMAN	CYFP1_HUMAN	12.399999999999999
WASF1_HUMAN	STXB1_HUMAN	0.64
WASF1_HUMAN	AGAP2_HUMAN	1.92
WASF1_HUMAN	RHOB_HUMAN	0.8
WASF1_HUMAN	NTRK1_HUMAN	0.8
WASF1_HUMAN	PTK7_HUMAN	0.64
WASF1_HUMAN	CYFP2_HUMAN	6.079999999999999
WASF1_HUMAN	ABI3_HUMAN	3.2
WASF1_HUMAN	VATC2_HUMAN	3.2
WASF1_HUMAN	RBTN2_HUMAN	0.8
WASF1_HUMAN	IFT20_HUMAN	2.4000000000000004
WASF1_HUMAN	TNIP2_HUMAN	0.8
WASF1_HUMAN	WASC3_HUMAN	2.4000000000000004
WASF1_HUMAN	CBLC_HUMAN	2.4000000000000004
WASF1_HUMAN	CDK5_HUMAN	0.64
WASF1_HUMAN	ZN746_HUMAN	0.8
WASF1_HUMAN	OSTF1_HUMAN	0.8
WASF1_HUMAN	ARPC2_HUMAN	0.8
WASF1_HUMAN	NHSL1_HUMAN	2.08
WASF1_HUMAN	NHSL2_HUMAN	0.8
WASF1_HUMAN	AMZ1_HUMAN	2.4000000000000004
WASF1_HUMAN	CGB2_HUMAN	0.8
WASF1_HUMAN	UBX11_HUMAN	3.2
WASF1_HUMAN	PCD10_HUMAN	0.8
WASF1_HUMAN	ANS1B_HUMAN	0.64
WASF1_HUMAN	HSF2B_HUMAN	3.2
WASF1_HUMAN	EFHC1_HUMAN	3.2
WASF1_HUMAN	LRRK2_HUMAN	0.8
WASF1_HUMAN	ITF2_HUMAN	1.6
WASF1_HUMAN	AIPL1_HUMAN	2.4000000000000004
WASF1_HUMAN	MED20_HUMAN	1.6
WASF1_HUMAN	PTPRE_HUMAN	1.6
WASF1_HUMAN	CFTR_HUMAN	2.4000000000000004
WASF1_HUMAN	NXN_HUMAN	1.6
WASF1_HUMAN	DNMBP_HUMAN	0.8
WASF1_HUMAN	RYK_HUMAN	0.8
WASF1_HUMAN	HXK4_HUMAN	0.8
WASF1_HUMAN	ZN511_HUMAN	2.4000000000000004
WASF1_HUMAN	NYAP1_HUMAN	0.64
WASF1_HUMAN	NYAP2_HUMAN	1.6400000000000001
WASF1_HUMAN	AKT3_HUMAN	0.64
WASF1_HUMAN	TRI67_HUMAN	1.44
WASF1_HUMAN	RHG12_HUMAN	0.8
WASF1_HUMAN	NHSL3_HUMAN	1.6
WASF1_HUMAN	KC1G3_HUMAN	0.8
WASF1_HUMAN	WASF3_HUMAN	0.8
WASF1_HUMAN	ZRAN1_HUMAN	0.8
WASF1_HUMAN	ARP3_HUMAN	1.8
WASF1_HUMAN	MAPK2_HUMAN	1
WASF1_HUMAN	ZC3HF_HUMAN	0.8
WASF1_HUMAN	TXND9_HUMAN	0.8
WASF1_HUMAN	FBP1L_HUMAN	0.8
WASF1_HUMAN	ARHG2_HUMAN	0.64
WASF1_HUMAN	TRI14_HUMAN	0.8
WASF1_HUMAN	ARL4C_HUMAN	0.8
WASF1_HUMAN	BRSK2_HUMAN	0.64
