UniProtID	UniProtID	score
WDR6_HUMAN	BAG2_HUMAN	1.28
WDR6_HUMAN	STAU1_HUMAN	0.8
WDR6_HUMAN	PHB_HUMAN	0.8
WDR6_HUMAN	STX7_HUMAN	0.8
WDR6_HUMAN	GRB10_HUMAN	2.4000000000000004
WDR6_HUMAN	LCK_HUMAN	0.8
WDR6_HUMAN	CXA1_HUMAN	0.8
WDR6_HUMAN	RAB2A_HUMAN	0.8
WDR6_HUMAN	TIP_HUMAN	0.8
WDR6_HUMAN	LYN_HUMAN	0.8
WDR6_HUMAN	HNRH1_HUMAN	0.8
WDR6_HUMAN	RAB35_HUMAN	0.8
WDR6_HUMAN	SAM50_HUMAN	0.8
WDR6_HUMAN	ARF6_HUMAN	0.8
WDR6_HUMAN	ARRB2_HUMAN	1.28
WDR6_HUMAN	MP2K7_HUMAN	1.0
WDR6_HUMAN	HSP7C_HUMAN	4.0
WDR6_HUMAN	DMWD_HUMAN	1.6
WDR6_HUMAN	STK39_HUMAN	1.0
WDR6_HUMAN	RHG39_HUMAN	0.8
WDR6_HUMAN	MARCS_HUMAN	0.8
WDR6_HUMAN	RASN_HUMAN	0.8
WDR6_HUMAN	DDRGK_HUMAN	0.8
WDR6_HUMAN	RHOB_HUMAN	0.8
WDR6_HUMAN	RL10_HUMAN	1.6
WDR6_HUMAN	GRB2_HUMAN	1.6
WDR6_HUMAN	RL35_HUMAN	1.28
WDR6_HUMAN	TBA1A_HUMAN	0.8
WDR6_HUMAN	MIB1_HUMAN	0.8
WDR6_HUMAN	LTOR1_HUMAN	0.8
WDR6_HUMAN	RAB5C_HUMAN	0.8
WDR6_HUMAN	CUL3_HUMAN	1.6
WDR6_HUMAN	FARP1_HUMAN	0.8
WDR6_HUMAN	DNJA2_HUMAN	0.8
WDR6_HUMAN	RAB5A_HUMAN	0.8
WDR6_HUMAN	FLOT1_HUMAN	0.8
WDR6_HUMAN	RB11A_HUMAN	0.8
WDR6_HUMAN	SYNPO_HUMAN	0.8
WDR6_HUMAN	STX4_HUMAN	0.8
WDR6_HUMAN	MTCH2_HUMAN	0.8
WDR6_HUMAN	RASK_HUMAN	1.6
WDR6_HUMAN	BORG4_HUMAN	0.8
WDR6_HUMAN	GRIP1_HUMAN	0.8
BAG2_HUMAN	BAG2_HUMAN	19.60000000000001
BAG2_HUMAN	GRB10_HUMAN	2.4000000000000004
BAG2_HUMAN	LCK_HUMAN	1.6
BAG2_HUMAN	TIP_HUMAN	0.8
BAG2_HUMAN	HSP7C_HUMAN	23.48000000000001
BAG2_HUMAN	RL10_HUMAN	2.08
BAG2_HUMAN	TBA1A_HUMAN	5.279999999999999
BAG2_HUMAN	CUL3_HUMAN	1.6
BAG2_HUMAN	DNJA2_HUMAN	0.8
BAG2_HUMAN	SYNPO_HUMAN	0.8
BAG2_HUMAN	MTCH2_HUMAN	0.8
BAG2_HUMAN	RASK_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	PHB_HUMAN	2.4000000000000004
STAU1_HUMAN	HNRH1_HUMAN	1.44
STAU1_HUMAN	ARF6_HUMAN	0.8
STAU1_HUMAN	HSP7C_HUMAN	2.4000000000000004
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	RL10_HUMAN	2.4000000000000004
STAU1_HUMAN	RL35_HUMAN	0.8
STAU1_HUMAN	TBA1A_HUMAN	2.4000000000000004
STAU1_HUMAN	RAB5C_HUMAN	0.8
STAU1_HUMAN	CUL3_HUMAN	1.6
