UniProtID	UniProtID	score
XPO2_HUMAN	GRB2_HUMAN	1.6
XPO2_HUMAN	CRK_HUMAN	1
XPO2_HUMAN	ESR1_HUMAN	0.8
XPO2_HUMAN	TMIG1_HUMAN	0.8
XPO2_HUMAN	NGEF_HUMAN	0.8
XPO2_HUMAN	UNK_HUMAN	1.44
XPO2_HUMAN	FAF2_HUMAN	2.24
XPO2_HUMAN	DUX4_HUMAN	1.6
XPO2_HUMAN	P53_HUMAN	5
XPO2_HUMAN	IMB1_HUMAN	0.8
XPO2_HUMAN	TPTE_HUMAN	1.6
XPO2_HUMAN	ATX3_HUMAN	0.8
XPO2_HUMAN	RAF1_HUMAN	0.8
XPO2_HUMAN	GPR45_HUMAN	0.8
XPO2_HUMAN	ASB16_HUMAN	0.8
XPO2_HUMAN	NKX21_HUMAN	0.8
XPO2_HUMAN	BRD4_HUMAN	0.8
XPO2_HUMAN	HDAC6_HUMAN	1.6
XPO2_HUMAN	SYDC_HUMAN	0.8
XPO2_HUMAN	RIT1_HUMAN	0.8
XPO2_HUMAN	1433Z_HUMAN	0.8
XPO2_HUMAN	KAP1_HUMAN	0.64
XPO2_HUMAN	ENPP3_HUMAN	0.8
XPO2_HUMAN	EZH2_HUMAN	1.6
XPO2_HUMAN	PTBP3_HUMAN	0.8
XPO2_HUMAN	SNW1_HUMAN	1.6
XPO2_HUMAN	LMNB1_HUMAN	0.8
XPO2_HUMAN	BIP_HUMAN	1.6
XPO2_HUMAN	H4_HUMAN	0.8
XPO2_HUMAN	1433T_HUMAN	0.8
XPO2_HUMAN	MP2K2_HUMAN	1.6
XPO2_HUMAN	IMA5_HUMAN	2.44
XPO2_HUMAN	BRCA1_HUMAN	0.8
XPO2_HUMAN	EGFR_HUMAN	4.8
XPO2_HUMAN	1433G_HUMAN	0.8
XPO2_HUMAN	ATX1_HUMAN	1.28
XPO2_HUMAN	CDC42_HUMAN	1.6
XPO2_HUMAN	RAC1_HUMAN	2.4000000000000004
XPO2_HUMAN	KPCZ_HUMAN	1.6
XPO2_HUMAN	DNJA1_HUMAN	0.8
XPO2_HUMAN	IMA1_HUMAN	4.8
XPO2_HUMAN	ANDR_HUMAN	1.6
XPO2_HUMAN	PML_HUMAN	0.8
XPO2_HUMAN	LDHA_HUMAN	0.8
XPO2_HUMAN	PABP4_HUMAN	0.8
XPO2_HUMAN	GSK3B_HUMAN	0.8
XPO2_HUMAN	CHD3_HUMAN	0.8
XPO2_HUMAN	SUMO2_HUMAN	0.8
XPO2_HUMAN	PARP1_HUMAN	1.6
XPO2_HUMAN	RHOA_HUMAN	0.8
XPO2_HUMAN	CHRD1_HUMAN	1.44
XPO2_HUMAN	KAPCA_HUMAN	0.8
XPO2_HUMAN	TNR5_HUMAN	0.8
XPO2_HUMAN	DISC1_HUMAN	0.64
XPO2_HUMAN	NEMO_HUMAN	0.8
XPO2_HUMAN	STAU1_HUMAN	0.8
XPO2_HUMAN	KI18A_HUMAN	0.8
XPO2_HUMAN	HUWE1_HUMAN	0.8
XPO2_HUMAN	GTR1_HUMAN	0.8
XPO2_HUMAN	IQGA1_HUMAN	0.8
XPO2_HUMAN	RUFY1_HUMAN	0.8
XPO2_HUMAN	BIRC3_HUMAN	0.8
XPO2_HUMAN	IPO5_HUMAN	0.8
XPO2_HUMAN	NFAC2_HUMAN	1.6
XPO2_HUMAN	UBR1_HUMAN	0.8
XPO2_HUMAN	HNRPL_HUMAN	3.0400000000000005
XPO2_HUMAN	RBM39_HUMAN	0.8
XPO2_HUMAN	AT2B1_HUMAN	0.64
XPO2_HUMAN	MTR1B_HUMAN	2.4000000000000004
XPO2_HUMAN	UBP19_HUMAN	1.6
XPO2_HUMAN	IQCB1_HUMAN	1.28
XPO2_HUMAN	LRRK2_HUMAN	5.0
XPO2_HUMAN	OTUB1_HUMAN	2.4000000000000004
XPO2_HUMAN	MMS19_HUMAN	1.6
XPO2_HUMAN	CIA2B_HUMAN	0.8
XPO2_HUMAN	URM1_HUMAN	1.6
XPO2_HUMAN	RRP1B_HUMAN	0.8
XPO2_HUMAN	CDC73_HUMAN	1.44
XPO2_HUMAN	MECOM_HUMAN	0.64
XPO2_HUMAN	PRKN_HUMAN	4.0
XPO2_HUMAN	ZDHC5_HUMAN	1.6
XPO2_HUMAN	MOT11_HUMAN	0.8
XPO2_HUMAN	PTPRE_HUMAN	2.4000000000000004
XPO2_HUMAN	RMC1_HUMAN	1.6
XPO2_HUMAN	SIM26_HUMAN	1.6
XPO2_HUMAN	VCAM1_HUMAN	3.2
XPO2_HUMAN	RBM45_HUMAN	1.6
XPO2_HUMAN	4ET_HUMAN	1
XPO2_HUMAN	HMGA2_HUMAN	0.64
XPO2_HUMAN	HACD1_HUMAN	1.6
XPO2_HUMAN	M4A4A_HUMAN	3.2
XPO2_HUMAN	P2RY6_HUMAN	3.2
XPO2_HUMAN	TN13B_HUMAN	3.2
XPO2_HUMAN	UN93B_HUMAN	3.2
XPO2_HUMAN	VAMP5_HUMAN	3.2
XPO2_HUMAN	FUS_HUMAN	2.24
XPO2_HUMAN	CFTR_HUMAN	13.440000000000003
XPO2_HUMAN	GRK6_HUMAN	1.6
XPO2_HUMAN	COQ8A_HUMAN	1.6
XPO2_HUMAN	SG196_HUMAN	1.6
XPO2_HUMAN	LAT_HUMAN	0.64
XPO2_HUMAN	ZAP70_HUMAN	0.64
XPO2_HUMAN	KLF16_HUMAN	1.6
XPO2_HUMAN	NRIP1_HUMAN	1
XPO2_HUMAN	CDC5L_HUMAN	1.6
XPO2_HUMAN	JUN_HUMAN	0.8
XPO2_HUMAN	AAKB1_HUMAN	0.64
XPO2_HUMAN	TX101_HUMAN	1.6
XPO2_HUMAN	G3BP1_HUMAN	1.6
XPO2_HUMAN	PPP5_HUMAN	2.24
XPO2_HUMAN	RL22_HUMAN	1.6
XPO2_HUMAN	TMM62_HUMAN	1.6
XPO2_HUMAN	MK06_HUMAN	1.6
XPO2_HUMAN	TNR1B_HUMAN	0.8
XPO2_HUMAN	MYC_HUMAN	3.2
XPO2_HUMAN	STK4_HUMAN	0.8
XPO2_HUMAN	ERLN2_HUMAN	1.6
XPO2_HUMAN	STOM_HUMAN	2.4000000000000004
XPO2_HUMAN	ESR2_HUMAN	0.8
XPO2_HUMAN	CADH1_HUMAN	3
XPO2_HUMAN	HDAC5_HUMAN	0.8
XPO2_HUMAN	AMFR_HUMAN	0.8
XPO2_HUMAN	SIR7_HUMAN	0.8
XPO2_HUMAN	FBX25_HUMAN	0.8
XPO2_HUMAN	CDK2_HUMAN	0.8
XPO2_HUMAN	FBX6_HUMAN	0.8
XPO2_HUMAN	FOXP3_HUMAN	0.64
XPO2_HUMAN	CAH9_HUMAN	0.8
XPO2_HUMAN	FINC_HUMAN	0.8
XPO2_HUMAN	ITA4_HUMAN	0.8
XPO2_HUMAN	CLN3_HUMAN	0.8
XPO2_HUMAN	CCDC8_HUMAN	0.8
XPO2_HUMAN	SUZ12_HUMAN	1.6
XPO2_HUMAN	RING2_HUMAN	0.8
XPO2_HUMAN	EED_HUMAN	0.64
XPO2_HUMAN	TM171_HUMAN	0.8
XPO2_HUMAN	VSIG2_HUMAN	1.6
XPO2_HUMAN	XRP2_HUMAN	1.6
XPO2_HUMAN	NTRK1_HUMAN	0.8
XPO2_HUMAN	PPME1_HUMAN	0.8
XPO2_HUMAN	CRY2_HUMAN	0.8
XPO2_HUMAN	MCM2_HUMAN	0.8
XPO2_HUMAN	BIRC2_HUMAN	2
XPO2_HUMAN	WDTC1_HUMAN	0.64
XPO2_HUMAN	RAD18_HUMAN	0.8
XPO2_HUMAN	PTPRA_HUMAN	1.6
XPO2_HUMAN	PTPRN_HUMAN	0.8
XPO2_HUMAN	PACC1_HUMAN	1.6
XPO2_HUMAN	FACD2_HUMAN	0.64
XPO2_HUMAN	CYLD_HUMAN	1.6
XPO2_HUMAN	FOXA1_HUMAN	0.8
XPO2_HUMAN	CCND2_HUMAN	0.8
XPO2_HUMAN	ZUP1_HUMAN	0.8
XPO2_HUMAN	ZN598_HUMAN	0.8
XPO2_HUMAN	PPP6_HUMAN	0.8
XPO2_HUMAN	ACON_HUMAN	0.8
XPO2_HUMAN	EGLN3_HUMAN	0.8
XPO2_HUMAN	U5S1_HUMAN	0.8
XPO2_HUMAN	AAR2_HUMAN	0.8
XPO2_HUMAN	PIHD1_HUMAN	0.8
XPO2_HUMAN	UBC12_HUMAN	0.8
XPO2_HUMAN	RNF4_HUMAN	0.8
XPO2_HUMAN	SPDLY_HUMAN	0.8
XPO2_HUMAN	RIOK1_HUMAN	0.8
XPO2_HUMAN	HEXI1_HUMAN	0.8
XPO2_HUMAN	FBXW7_HUMAN	0.8
XPO2_HUMAN	RN181_HUMAN	0.8
XPO2_HUMAN	SNAI1_HUMAN	0.8
XPO2_HUMAN	AGR2_HUMAN	1.6
XPO2_HUMAN	RECQ4_HUMAN	0.8
XPO2_HUMAN	R144A_HUMAN	0.8
XPO2_HUMAN	WDR76_HUMAN	1.6
XPO2_HUMAN	H2A1B_HUMAN	0.8
XPO2_HUMAN	VIR_HUMAN	0.8
XPO2_HUMAN	CCND1_HUMAN	0.8
XPO2_HUMAN	UBQL2_HUMAN	0.8
XPO2_HUMAN	PPAP_HUMAN	0.8
XPO2_HUMAN	DUS16_HUMAN	0.8
XPO2_HUMAN	DUS23_HUMAN	0.8
XPO2_HUMAN	PTPM1_HUMAN	0.8
XPO2_HUMAN	PTPRM_HUMAN	0.8
XPO2_HUMAN	PTPRU_HUMAN	0.8
XPO2_HUMAN	LMBRL_HUMAN	0.8
XPO2_HUMAN	EP300_HUMAN	1.6
XPO2_HUMAN	PKHA4_HUMAN	0.8
XPO2_HUMAN	PINK1_HUMAN	0.8
XPO2_HUMAN	EMC1_HUMAN	0.8
XPO2_HUMAN	ANR55_HUMAN	0.8
XPO2_HUMAN	RHG36_HUMAN	0.8
XPO2_HUMAN	ARGAL_HUMAN	0.8
XPO2_HUMAN	DEP1B_HUMAN	0.8
XPO2_HUMAN	CTRO_HUMAN	0.8
XPO2_HUMAN	CHM4C_HUMAN	0.8
XPO2_HUMAN	KIF14_HUMAN	0.8
XPO2_HUMAN	APR_HUMAN	0.8
XPO2_HUMAN	ISG15_HUMAN	0.8
XPO2_HUMAN	UFL1_HUMAN	0.8
XPO2_HUMAN	DDRGK_HUMAN	0.8
XPO2_HUMAN	WDR5_HUMAN	1.6
XPO2_HUMAN	PAGE4_HUMAN	0.8
XPO2_HUMAN	MALL_HUMAN	0.8
XPO2_HUMAN	CYB5B_HUMAN	1.6
XPO2_HUMAN	NPTN_HUMAN	0.8
XPO2_HUMAN	GPR17_HUMAN	0.8
XPO2_HUMAN	VIPR1_HUMAN	0.8
XPO2_HUMAN	CD70_HUMAN	0.8
XPO2_HUMAN	MAP7_HUMAN	0.8
XPO2_HUMAN	RM42_HUMAN	0.8
XPO2_HUMAN	FPR1_HUMAN	0.8
XPO2_HUMAN	GP182_HUMAN	0.8
XPO2_HUMAN	OPALI_HUMAN	0.8
XPO2_HUMAN	TPST2_HUMAN	0.8
XPO2_HUMAN	MFD4A_HUMAN	0.8
XPO2_HUMAN	SERB1_HUMAN	0.8
XPO2_HUMAN	CMTD1_HUMAN	0.8
XPO2_HUMAN	SYT6_HUMAN	0.8
