UniProtID	UniProtID	score
ZDHC5_HUMAN	CYBR1_HUMAN	0.8
ZDHC5_HUMAN	CKAP5_HUMAN	0.8
ZDHC5_HUMAN	SEPT7_HUMAN	0.8
ZDHC5_HUMAN	CMC2_HUMAN	0.8
ZDHC5_HUMAN	ESYT1_HUMAN	0.8
ZDHC5_HUMAN	DECR_HUMAN	0.8
ZDHC5_HUMAN	ZO1_HUMAN	1.6
ZDHC5_HUMAN	RAB14_HUMAN	0.8
ZDHC5_HUMAN	FAS_HUMAN	0.8
ZDHC5_HUMAN	RALA_HUMAN	0.8
ZDHC5_HUMAN	AP1B1_HUMAN	0.8
ZDHC5_HUMAN	RAC1_HUMAN	1.6
ZDHC5_HUMAN	PI4KA_HUMAN	0.8
ZDHC5_HUMAN	CLAP1_HUMAN	0.8
ZDHC5_HUMAN	MOT4_HUMAN	0.8
ZDHC5_HUMAN	FLOT2_HUMAN	3.0400000000000005
ZDHC5_HUMAN	FUMH_HUMAN	0.8
ZDHC5_HUMAN	OST48_HUMAN	0.8
ZDHC5_HUMAN	ARF4_HUMAN	0.8
ZDHC5_HUMAN	RS25_HUMAN	1.6
ZDHC5_HUMAN	LIMA1_HUMAN	1.44
ZDHC5_HUMAN	PICK1_HUMAN	0.64
ZDHC5_HUMAN	VDAC1_HUMAN	0.8
ZDHC5_HUMAN	ANX11_HUMAN	1.6
ZDHC5_HUMAN	MARCS_HUMAN	0.8
ZDHC5_HUMAN	DHPR_HUMAN	0.8
ZDHC5_HUMAN	MPRIP_HUMAN	0.8
ZDHC5_HUMAN	RASN_HUMAN	1.6
ZDHC5_HUMAN	MYO5B_HUMAN	0.8
ZDHC5_HUMAN	VAT1_HUMAN	1.6
ZDHC5_HUMAN	RL37A_HUMAN	0.8
ZDHC5_HUMAN	GLYM_HUMAN	0.8
ZDHC5_HUMAN	RL32_HUMAN	0.8
ZDHC5_HUMAN	RAB18_HUMAN	0.8
ZDHC5_HUMAN	MIC19_HUMAN	0.8
ZDHC5_HUMAN	RHOB_HUMAN	0.8
ZDHC5_HUMAN	MYH9_HUMAN	0.64
ZDHC5_HUMAN	RL35_HUMAN	0.8
ZDHC5_HUMAN	ODO1_HUMAN	0.8
ZDHC5_HUMAN	LIS1_HUMAN	0.8
ZDHC5_HUMAN	TPIS_HUMAN	0.8
ZDHC5_HUMAN	UBP15_HUMAN	0.8
ZDHC5_HUMAN	SMC3_HUMAN	1.6
ZDHC5_HUMAN	LTOR1_HUMAN	1.6
ZDHC5_HUMAN	STOM_HUMAN	0.8
ZDHC5_HUMAN	RAB5A_HUMAN	0.8
ZDHC5_HUMAN	UBA1_HUMAN	0.8
ZDHC5_HUMAN	TP53B_HUMAN	0.8
ZDHC5_HUMAN	GOG7B_HUMAN	5.8
ZDHC5_HUMAN	CDC42_HUMAN	0.8
ZDHC5_HUMAN	IQGA1_HUMAN	1.6
ZDHC5_HUMAN	XPO1_HUMAN	0.8
ZDHC5_HUMAN	MYO1B_HUMAN	0.8
ZDHC5_HUMAN	RASK_HUMAN	2.4000000000000004
ZDHC5_HUMAN	STAT3_HUMAN	0.8
ZDHC5_HUMAN	PARP1_HUMAN	0.8
ZDHC5_HUMAN	PUR9_HUMAN	0.8
ZDHC5_HUMAN	CAP1_HUMAN	0.8
ZDHC5_HUMAN	CA2D1_HUMAN	0.8
ZDHC5_HUMAN	RS15A_HUMAN	0.8
ZDHC5_HUMAN	SERA_HUMAN	1.6
ZDHC5_HUMAN	GSTM3_HUMAN	0.8
ZDHC5_HUMAN	LIPA4_HUMAN	0.64
ZDHC5_HUMAN	ACSL3_HUMAN	0.8
ZDHC5_HUMAN	CXA1_HUMAN	0.8
ZDHC5_HUMAN	UBE2N_HUMAN	0.8
ZDHC5_HUMAN	RTN4_HUMAN	0.8
ZDHC5_HUMAN	DREB_HUMAN	0.8
ZDHC5_HUMAN	THIK_HUMAN	0.8
ZDHC5_HUMAN	RAB35_HUMAN	0.8
ZDHC5_HUMAN	MYO5A_HUMAN	1.6
ZDHC5_HUMAN	SC23A_HUMAN	0.8
ZDHC5_HUMAN	UBR4_HUMAN	1.6
ZDHC5_HUMAN	DLG2_HUMAN	0.64
ZDHC5_HUMAN	GBB4_HUMAN	0.8
ZDHC5_HUMAN	PICAL_HUMAN	0.8
ZDHC5_HUMAN	DLG4_HUMAN	3.8400000000000003
ZDHC5_HUMAN	MYPT1_HUMAN	0.8
ZDHC5_HUMAN	SSBP_HUMAN	0.8
ZDHC5_HUMAN	ATX10_HUMAN	1.6
ZDHC5_HUMAN	VAMP3_HUMAN	0.8
ZDHC5_HUMAN	RS21_HUMAN	0.8
ZDHC5_HUMAN	PLCD3_HUMAN	0.8
ZDHC5_HUMAN	PSD10_HUMAN	0.8
ZDHC5_HUMAN	RL34_HUMAN	0.8
ZDHC5_HUMAN	EFR3A_HUMAN	0.8
ZDHC5_HUMAN	ETFB_HUMAN	0.8
ZDHC5_HUMAN	COR1C_HUMAN	1.28
ZDHC5_HUMAN	UB2V1_HUMAN	1.6
ZDHC5_HUMAN	DLDH_HUMAN	0.8
ZDHC5_HUMAN	GBB1_HUMAN	0.8
ZDHC5_HUMAN	RAB1A_HUMAN	0.8
ZDHC5_HUMAN	RHOA_HUMAN	0.8
ZDHC5_HUMAN	GBG12_HUMAN	0.8
ZDHC5_HUMAN	PRIO_HUMAN	0.8
ZDHC5_HUMAN	PA24A_HUMAN	0.8
ZDHC5_HUMAN	VATA_HUMAN	0.8
ZDHC5_HUMAN	CADH1_HUMAN	0.8
ZDHC5_HUMAN	RAP1B_HUMAN	0.8
ZDHC5_HUMAN	CUL3_HUMAN	0.8
ZDHC5_HUMAN	ACLY_HUMAN	0.8
ZDHC5_HUMAN	MY18A_HUMAN	0.8
ZDHC5_HUMAN	DNJA2_HUMAN	0.8
ZDHC5_HUMAN	PP1G_HUMAN	0.8
ZDHC5_HUMAN	NP1L4_HUMAN	0.8
ZDHC5_HUMAN	CLH1_HUMAN	1.6
ZDHC5_HUMAN	INF2_HUMAN	0.8
ZDHC5_HUMAN	KAPCA_HUMAN	0.8
ZDHC5_HUMAN	AP3D1_HUMAN	0.8
ZDHC5_HUMAN	STX4_HUMAN	0.8
ZDHC5_HUMAN	GAPD1_HUMAN	0.8
ZDHC5_HUMAN	PDE8A_HUMAN	0.8
ZDHC5_HUMAN	RS14_HUMAN	0.8
ZDHC5_HUMAN	RAB1B_HUMAN	0.8
ZDHC5_HUMAN	ACTN4_HUMAN	0.64
ZDHC5_HUMAN	LONM_HUMAN	1.6
ZDHC5_HUMAN	ADT3_HUMAN	0.8
ZDHC5_HUMAN	STX7_HUMAN	0.8
ZDHC5_HUMAN	LCK_HUMAN	0.8
ZDHC5_HUMAN	IMB1_HUMAN	1.6
ZDHC5_HUMAN	TLN1_HUMAN	0.8
ZDHC5_HUMAN	RAB2A_HUMAN	0.8
ZDHC5_HUMAN	SC31A_HUMAN	0.8
ZDHC5_HUMAN	GNAI1_HUMAN	1.6
ZDHC5_HUMAN	CLCB_HUMAN	0.8
ZDHC5_HUMAN	LYN_HUMAN	1.6
ZDHC5_HUMAN	GSTO1_HUMAN	0.8
ZDHC5_HUMAN	ARF6_HUMAN	0.8
ZDHC5_HUMAN	SDCB1_HUMAN	0.8
ZDHC5_HUMAN	VPS35_HUMAN	0.8
ZDHC5_HUMAN	AK1A1_HUMAN	0.8
ZDHC5_HUMAN	ADT1_HUMAN	0.8
ZDHC5_HUMAN	SLK_HUMAN	0.8
ZDHC5_HUMAN	NUMB_HUMAN	0.8
ZDHC5_HUMAN	DHB4_HUMAN	0.8
ZDHC5_HUMAN	1433S_HUMAN	0.8
ZDHC5_HUMAN	DLG3_HUMAN	0.64
ZDHC5_HUMAN	RASH_HUMAN	0.8
ZDHC5_HUMAN	RAGP1_HUMAN	0.8
ZDHC5_HUMAN	SPTN2_HUMAN	0.64
ZDHC5_HUMAN	AL3A2_HUMAN	0.8
ZDHC5_HUMAN	RL30_HUMAN	1.6
ZDHC5_HUMAN	ODO2_HUMAN	0.8
ZDHC5_HUMAN	HIP1_HUMAN	0.8
ZDHC5_HUMAN	SRPK2_HUMAN	0.8
ZDHC5_HUMAN	OLA1_HUMAN	0.8
ZDHC5_HUMAN	PGK1_HUMAN	0.8
ZDHC5_HUMAN	EZRI_HUMAN	0.8
ZDHC5_HUMAN	YES_HUMAN	1.6
ZDHC5_HUMAN	AT1A1_HUMAN	0.8
ZDHC5_HUMAN	DYL1_HUMAN	0.8
ZDHC5_HUMAN	PRKDC_HUMAN	0.8
ZDHC5_HUMAN	IDH3A_HUMAN	0.8
ZDHC5_HUMAN	PROF2_HUMAN	0.8
ZDHC5_HUMAN	SNP23_HUMAN	0.8
ZDHC5_HUMAN	TBG2_HUMAN	0.8
ZDHC5_HUMAN	CN37_HUMAN	0.8
ZDHC5_HUMAN	FLOT1_HUMAN	2.24
