UniProtID	UniProtID	score
TNR16_HUMAN	CBL_HUMAN	1.6
TNR16_HUMAN	EGR1_HUMAN	2
TNR16_HUMAN	MAGD1_HUMAN	5.3999999999999995
TNR16_HUMAN	MDM2_HUMAN	3
TNR16_HUMAN	P53_HUMAN	3
TNR16_HUMAN	SQSTM_HUMAN	3
TNR16_HUMAN	A4_HUMAN	9.4
TNR16_HUMAN	SCN2A_HUMAN	0.8
TNR16_HUMAN	PSN1_HUMAN	1.6
TNR16_HUMAN	TRADD_HUMAN	3
TNR16_HUMAN	TRAF3_HUMAN	1.8
TNR16_HUMAN	SIAH1_HUMAN	1
TNR16_HUMAN	CDN1A_HUMAN	1.6
TNR16_HUMAN	SHC1_HUMAN	1
TNR16_HUMAN	NTRK2_HUMAN	2.8
TNR16_HUMAN	MAGH1_HUMAN	4
TNR16_HUMAN	DYR1A_HUMAN	0.8
TNR16_HUMAN	TRAF6_HUMAN	9.399999999999999
TNR16_HUMAN	HIPK2_HUMAN	1
TNR16_HUMAN	SPRE1_HUMAN	2.4000000000000004
TNR16_HUMAN	IRAK1_HUMAN	1
TNR16_HUMAN	IKKB_HUMAN	2
TNR16_HUMAN	IKKA_HUMAN	1
TNR16_HUMAN	TRAF1_HUMAN	1.8
TNR16_HUMAN	SMN_HUMAN	1.6
TNR16_HUMAN	MYD88_HUMAN	1
TNR16_HUMAN	TRAF2_HUMAN	4.4
TNR16_HUMAN	GDIR1_HUMAN	5.8
TNR16_HUMAN	CAC1C_HUMAN	3.2
TNR16_HUMAN	BNI3L_HUMAN	3
TNR16_HUMAN	TRI37_HUMAN	0.8
TNR16_HUMAN	BEX3_HUMAN	5.0
TNR16_HUMAN	TSC1_HUMAN	1
TNR16_HUMAN	CHIP_HUMAN	2.4000000000000004
TNR16_HUMAN	CALM1_HUMAN	2
TNR16_HUMAN	UFD1_HUMAN	1.6
TNR16_HUMAN	SALL2_HUMAN	7.6
TNR16_HUMAN	ANXA7_HUMAN	1.6
TNR16_HUMAN	H2AX_HUMAN	1.6
TNR16_HUMAN	RCC1_HUMAN	1.6
TNR16_HUMAN	RPN2_HUMAN	1.6
TNR16_HUMAN	STMN2_HUMAN	1.6
TNR16_HUMAN	KITH_HUMAN	1.6
TNR16_HUMAN	TTHY_HUMAN	1.6
TNR16_HUMAN	BEX1_HUMAN	5.2
TNR16_HUMAN	SORT_HUMAN	7.839999999999999
TNR16_HUMAN	TRAF5_HUMAN	1.8
TNR16_HUMAN	TRAF4_HUMAN	5.4
TNR16_HUMAN	RIPK2_HUMAN	6.8
TNR16_HUMAN	NECD_HUMAN	8.2
TNR16_HUMAN	NSE3_HUMAN	6.2
TNR16_HUMAN	RTN4R_HUMAN	2.8
TNR16_HUMAN	LIGO1_HUMAN	3
TNR16_HUMAN	TNR16_HUMAN	48.799999999999976
TNR16_HUMAN	NGF_HUMAN	21.40000000000001
TNR16_HUMAN	SORC2_HUMAN	5.0
TNR16_HUMAN	CD80_HUMAN	3.2
TNR16_HUMAN	NTF3_HUMAN	12.200000000000003
TNR16_HUMAN	NTRK1_HUMAN	7.8
TNR16_HUMAN	TNR21_HUMAN	4
TNR16_HUMAN	HCN1_HUMAN	1.6
TNR16_HUMAN	KAPCB_HUMAN	4
TNR16_HUMAN	FSCN1_HUMAN	3
TNR16_HUMAN	TCF19_HUMAN	2
TNR16_HUMAN	BFAR_HUMAN	3
TNR16_HUMAN	NTRK3_HUMAN	1.6
TNR16_HUMAN	ITA9_HUMAN	3
TNR16_HUMAN	PDLI1_HUMAN	3
TNR16_HUMAN	KDIS_HUMAN	1
TNR16_HUMAN	BACE1_HUMAN	2
TNR16_HUMAN	SORC3_HUMAN	2
TNR16_HUMAN	CAV1_HUMAN	1
TNR16_HUMAN	PO4F2_HUMAN	1
