UniProtID	UniProtID	score
GBRA1_HUMAN	DYN1_HUMAN	0.6
GBRA1_HUMAN	UBC_HUMAN	0.64
GBRA1_HUMAN	GBRT_HUMAN	0.6
GBRA1_HUMAN	GBRB1_HUMAN	6.039999999999999
GBRA1_HUMAN	GBRB3_HUMAN	5.24
GBRA1_HUMAN	GRM5_HUMAN	0.8
GBRA1_HUMAN	GABR2_HUMAN	0.6
GBRA1_HUMAN	NPTN_HUMAN	0.6
GBRA1_HUMAN	GBRA3_HUMAN	1.24
GBRA1_HUMAN	KPCD_HUMAN	1.0
GBRA1_HUMAN	GBRD_HUMAN	0.6
GBRA1_HUMAN	TERA_HUMAN	1.0
GBRA1_HUMAN	BIG2_HUMAN	1.6
GBRA1_HUMAN	PP2BA_HUMAN	0.8
GBRA1_HUMAN	CALX_HUMAN	1.0
GBRA1_HUMAN	GBRG3_HUMAN	1.6
GBRA1_HUMAN	NLGN3_HUMAN	0.64
GBRA1_HUMAN	NBEA_HUMAN	0.64
GBRA1_HUMAN	GEPH_HUMAN	1.24
GBRA1_HUMAN	GBRB2_HUMAN	35.04
GBRA1_HUMAN	GBRA5_HUMAN	1.24
GBRA1_HUMAN	NEB2_HUMAN	0.64
GBRA1_HUMAN	GBRA2_HUMAN	1.24
GBRA1_HUMAN	NSF_HUMAN	0.6
GBRA1_HUMAN	KPCG_HUMAN	1.0
GBRA1_HUMAN	NLGN2_HUMAN	0.64
GBRA1_HUMAN	NRX1A_HUMAN	0.64
GBRA1_HUMAN	UBP14_HUMAN	4.0
GBRA1_HUMAN	GBRG1_HUMAN	1.24
GBRA1_HUMAN	ENPL_HUMAN	3.8
GBRA1_HUMAN	GBRA1_HUMAN	3.2800000000000002
GBRA1_HUMAN	1433B_HUMAN	0.64
GBRA1_HUMAN	GBRA6_HUMAN	0.6
GBRA1_HUMAN	GBRG2_HUMAN	18.64
GBRA1_HUMAN	GBRA4_HUMAN	1.24
DYN1_HUMAN	DYN1_HUMAN	116.39999999999999
DYN1_HUMAN	UBC_HUMAN	3.04
DYN1_HUMAN	GBRA3_HUMAN	0.6
DYN1_HUMAN	PP2BA_HUMAN	1.4
DYN1_HUMAN	GBRA5_HUMAN	0.6
DYN1_HUMAN	NEB2_HUMAN	1.28
DYN1_HUMAN	GBRA2_HUMAN	0.6
DYN1_HUMAN	1433B_HUMAN	0.64
DYN1_HUMAN	GBRA6_HUMAN	0.6
DYN1_HUMAN	GBRA4_HUMAN	0.6
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	GABR2_HUMAN	1.44
UBC_HUMAN	NPTN_HUMAN	0.8
UBC_HUMAN	KPCD_HUMAN	1.44
UBC_HUMAN	TERA_HUMAN	13.56
UBC_HUMAN	PP2BA_HUMAN	0.64
UBC_HUMAN	CALX_HUMAN	0.64
UBC_HUMAN	GEPH_HUMAN	0.64
UBC_HUMAN	NSF_HUMAN	1.28
UBC_HUMAN	KPCG_HUMAN	0.64
UBC_HUMAN	NLGN2_HUMAN	0.64
UBC_HUMAN	UBP14_HUMAN	7.64
UBC_HUMAN	1433B_HUMAN	2.8800000000000003
UBC_HUMAN	GBRG2_HUMAN	0.8
GBRT_HUMAN	GBRB1_HUMAN	0.6
GBRT_HUMAN	GBRB3_HUMAN	0.6
