UniProtID	UniProtID	score
NPTN_HUMAN	DLG4_HUMAN	0.64
NPTN_HUMAN	DOCK4_HUMAN	0.8
NPTN_HUMAN	BRNP2_HUMAN	0.8
NPTN_HUMAN	ABCB6_HUMAN	0.8
NPTN_HUMAN	LNX1_HUMAN	0.64
NPTN_HUMAN	RUSC1_HUMAN	0.8
NPTN_HUMAN	TGON2_HUMAN	0.8
NPTN_HUMAN	SHAN3_HUMAN	0.64
NPTN_HUMAN	GCFC2_HUMAN	0.8
NPTN_HUMAN	FANCA_HUMAN	0.8
NPTN_HUMAN	TNPO1_HUMAN	0.8
NPTN_HUMAN	HEAT1_HUMAN	0.8
NPTN_HUMAN	XPO5_HUMAN	0.8
NPTN_HUMAN	FYV1_HUMAN	0.8
NPTN_HUMAN	RASH_HUMAN	0.8
NPTN_HUMAN	HD_HUMAN	6.3999999999999995
NPTN_HUMAN	SNP25_HUMAN	0.64
NPTN_HUMAN	TSC2_HUMAN	0.8
NPTN_HUMAN	GBRB2_HUMAN	1.6
NPTN_HUMAN	PICK1_HUMAN	0.8
NPTN_HUMAN	NEB2_HUMAN	0.64
NPTN_HUMAN	HS12A_HUMAN	0.8
NPTN_HUMAN	UBC_HUMAN	0.8
NPTN_HUMAN	SYT2_HUMAN	0.64
NPTN_HUMAN	TRAF6_HUMAN	4.0
NPTN_HUMAN	SGSM3_HUMAN	0.8
NPTN_HUMAN	CALX_HUMAN	1.6
NPTN_HUMAN	BIG2_HUMAN	0.8
NPTN_HUMAN	MUC18_HUMAN	0.8
NPTN_HUMAN	TBCD_HUMAN	0.8
NPTN_HUMAN	STK26_HUMAN	0.8
NPTN_HUMAN	S12A2_HUMAN	0.64
NPTN_HUMAN	HUWE1_HUMAN	1.28
NPTN_HUMAN	SNX5_HUMAN	0.8
NPTN_HUMAN	GNPAT_HUMAN	0.8
NPTN_HUMAN	TBA1A_HUMAN	0.8
NPTN_HUMAN	KS6A4_HUMAN	0.8
NPTN_HUMAN	HEAT6_HUMAN	0.8
NPTN_HUMAN	AT2B1_HUMAN	3.6
NPTN_HUMAN	XPO2_HUMAN	0.8
NPTN_HUMAN	GBF1_HUMAN	0.8
NPTN_HUMAN	MTOR_HUMAN	0.8
NPTN_HUMAN	EXOC5_HUMAN	0.8
NPTN_HUMAN	PRIO_HUMAN	1.44
NPTN_HUMAN	PRKN_HUMAN	0.8
NPTN_HUMAN	EXOC7_HUMAN	0.8
NPTN_HUMAN	AT2B2_HUMAN	0.8
NPTN_HUMAN	ANR44_HUMAN	0.8
NPTN_HUMAN	TSC1_HUMAN	0.8
NPTN_HUMAN	NDUBA_HUMAN	0.64
NPTN_HUMAN	ACTA_HUMAN	0.8
NPTN_HUMAN	LEG8_HUMAN	0.8
NPTN_HUMAN	CX6A1_HUMAN	0.64
NPTN_HUMAN	FHOD1_HUMAN	0.8
NPTN_HUMAN	SSR3_HUMAN	0.64
NPTN_HUMAN	BASI_HUMAN	0.8
NPTN_HUMAN	AGAP2_HUMAN	1.28
NPTN_HUMAN	FANCG_HUMAN	0.8
NPTN_HUMAN	VAC14_HUMAN	0.8
NPTN_HUMAN	FIG4_HUMAN	0.8
NPTN_HUMAN	RHOB_HUMAN	0.8
NPTN_HUMAN	IPO4_HUMAN	0.8
NPTN_HUMAN	OPA1_HUMAN	0.8
NPTN_HUMAN	APOE_HUMAN	0.8
NPTN_HUMAN	LEG3_HUMAN	1.6
NPTN_HUMAN	RFA1_HUMAN	0.8
NPTN_HUMAN	RFA2_HUMAN	0.8
NPTN_HUMAN	RFA3_HUMAN	0.8
NPTN_HUMAN	TELO2_HUMAN	0.8
NPTN_HUMAN	CRTP1_HUMAN	2.4000000000000004
NPTN_HUMAN	TNPO2_HUMAN	0.8
NPTN_HUMAN	MYPR_HUMAN	0.64
NPTN_HUMAN	ADT3_HUMAN	0.8
NPTN_HUMAN	TXD11_HUMAN	0.8
NPTN_HUMAN	CPT1A_HUMAN	0.8
NPTN_HUMAN	ORC4_HUMAN	0.8
NPTN_HUMAN	IPO13_HUMAN	0.8
NPTN_HUMAN	XPO1_HUMAN	0.8
NPTN_HUMAN	GEMI4_HUMAN	1.6
NPTN_HUMAN	P5CR1_HUMAN	0.8
NPTN_HUMAN	MID49_HUMAN	0.8
NPTN_HUMAN	TBB3_HUMAN	0.8
NPTN_HUMAN	SIMC1_HUMAN	0.8
NPTN_HUMAN	PDS5A_HUMAN	0.8
NPTN_HUMAN	F118B_HUMAN	0.8
NPTN_HUMAN	5MP1_HUMAN	0.8
NPTN_HUMAN	VPS51_HUMAN	0.8
NPTN_HUMAN	TONSL_HUMAN	0.8
NPTN_HUMAN	GPM6A_HUMAN	0.64
NPTN_HUMAN	XPO7_HUMAN	0.8
NPTN_HUMAN	CNTN1_HUMAN	0.64
NPTN_HUMAN	TTK_HUMAN	0.8
NPTN_HUMAN	SURF2_HUMAN	1.6
NPTN_HUMAN	MD2L2_HUMAN	2.4000000000000004
NPTN_HUMAN	ITM2B_HUMAN	1.28
