UniProtID	UniProtID	score
KCNJ2_HUMAN	DLG3_HUMAN	0.8
KCNJ2_HUMAN	DLG4_HUMAN	6
KCNJ2_HUMAN	LYN_HUMAN	0.8
KCNJ2_HUMAN	YES_HUMAN	0.8
KCNJ2_HUMAN	IF4B_HUMAN	0.8
KCNJ2_HUMAN	SDCB1_HUMAN	3.2
KCNJ2_HUMAN	SCRIB_HUMAN	1.6
KCNJ2_HUMAN	PKP4_HUMAN	0.8
KCNJ2_HUMAN	DLG1_HUMAN	5.64
KCNJ2_HUMAN	SCN5A_HUMAN	4.0
KCNJ2_HUMAN	KCNJ4_HUMAN	0.8
KCNJ2_HUMAN	CSKP_HUMAN	2.24
KCNJ2_HUMAN	ADAM9_HUMAN	0.8
KCNJ2_HUMAN	SH3B4_HUMAN	0.8
KCNJ2_HUMAN	SQSTM_HUMAN	0.8
KCNJ2_HUMAN	DP13A_HUMAN	0.8
KCNJ2_HUMAN	GGA1_HUMAN	0.8
KCNJ2_HUMAN	GGA3_HUMAN	0.8
KCNJ2_HUMAN	TMM51_HUMAN	0.8
KCNJ2_HUMAN	LIN7C_HUMAN	2.24
KCNJ2_HUMAN	LIN7A_HUMAN	0.8
KCNJ2_HUMAN	GNS_HUMAN	0.8
KCNJ2_HUMAN	DLGP4_HUMAN	0.8
KCNJ2_HUMAN	FLNA_HUMAN	1
KCNJ2_HUMAN	DAG1_HUMAN	0.8
KCNJ2_HUMAN	TNPO1_HUMAN	0.8
KCNJ2_HUMAN	P85A_HUMAN	0.8
KCNJ2_HUMAN	EFNB2_HUMAN	0.8
KCNJ2_HUMAN	CAHD1_HUMAN	0.8
KCNJ2_HUMAN	SNTB2_HUMAN	0.8
KCNJ2_HUMAN	ZN622_HUMAN	0.8
KCNJ2_HUMAN	IGF1R_HUMAN	0.8
KCNJ2_HUMAN	1433B_HUMAN	0.8
KCNJ2_HUMAN	HGS_HUMAN	0.8
KCNJ2_HUMAN	MPRI_HUMAN	0.8
KCNJ2_HUMAN	KPCI_HUMAN	0.8
KCNJ2_HUMAN	INSR_HUMAN	0.8
KCNJ2_HUMAN	EGFR_HUMAN	0.8
KCNJ2_HUMAN	DLG5_HUMAN	0.8
KCNJ2_HUMAN	ASIC1_HUMAN	0.8
KCNJ2_HUMAN	SC23A_HUMAN	0.8
KCNJ2_HUMAN	PAR6B_HUMAN	0.8
KCNJ2_HUMAN	HS12A_HUMAN	0.8
KCNJ2_HUMAN	KCC2A_HUMAN	0.8
KCNJ2_HUMAN	FLOT2_HUMAN	0.8
KCNJ2_HUMAN	DTNB_HUMAN	0.8
