UniProtID	UniProtID	score
DTNA_HUMAN	CH60_HUMAN	0.8
DTNA_HUMAN	PDIA3_HUMAN	0.8
DTNA_HUMAN	PHB_HUMAN	0.8
DTNA_HUMAN	STX7_HUMAN	0.8
DTNA_HUMAN	PP1A_HUMAN	0.64
DTNA_HUMAN	LIPA1_HUMAN	0.64
DTNA_HUMAN	TNIK_HUMAN	0.8
DTNA_HUMAN	SAR1A_HUMAN	0.8
DTNA_HUMAN	DP13A_HUMAN	1.6
DTNA_HUMAN	CTNB1_HUMAN	0.8
DTNA_HUMAN	ZO1_HUMAN	1.0
DTNA_HUMAN	CXA1_HUMAN	0.8
DTNA_HUMAN	LCK_HUMAN	0.8
DTNA_HUMAN	DESM_HUMAN	0.8
DTNA_HUMAN	RAB2A_HUMAN	0.8
DTNA_HUMAN	DTNA_HUMAN	1.28
DTNA_HUMAN	LYN_HUMAN	0.8
DTNA_HUMAN	TPM3_HUMAN	0.8
DTNA_HUMAN	SNTB2_HUMAN	3.3200000000000003
DTNA_HUMAN	SYNEM_HUMAN	3.0
DTNA_HUMAN	RAB35_HUMAN	0.8
DTNA_HUMAN	SC23A_HUMAN	0.8
DTNA_HUMAN	BIP_HUMAN	0.8
DTNA_HUMAN	MYO1E_HUMAN	0.8
DTNA_HUMAN	HS90B_HUMAN	0.8
DTNA_HUMAN	HSP7C_HUMAN	0.8
DTNA_HUMAN	HNRPK_HUMAN	0.8
DTNA_HUMAN	DTBP1_HUMAN	7.3999999999999995
DTNA_HUMAN	MARCS_HUMAN	0.8
DTNA_HUMAN	SNTA1_HUMAN	6.92
DTNA_HUMAN	GRP75_HUMAN	0.8
DTNA_HUMAN	SNTB1_HUMAN	4.76
DTNA_HUMAN	PSN1_HUMAN	0.8
DTNA_HUMAN	DRP2_HUMAN	2.0
DTNA_HUMAN	TIAM1_HUMAN	1.6
DTNA_HUMAN	TBA1A_HUMAN	0.8
DTNA_HUMAN	RHOB_HUMAN	0.8
DTNA_HUMAN	GELS_HUMAN	0.8
DTNA_HUMAN	ACTB_HUMAN	1.8
DTNA_HUMAN	EZRI_HUMAN	0.8
DTNA_HUMAN	DTNB_HUMAN	1.44
DTNA_HUMAN	LTOR1_HUMAN	0.8
DTNA_HUMAN	CTNA1_HUMAN	0.8
DTNA_HUMAN	FLOT1_HUMAN	0.8
DTNA_HUMAN	UTRN_HUMAN	5.44
DTNA_HUMAN	MARK2_HUMAN	1.6
DTNA_HUMAN	ENPL_HUMAN	0.8
DTNA_HUMAN	1433B_HUMAN	0.64
DTNA_HUMAN	STX4_HUMAN	0.8
DTNA_HUMAN	SC24C_HUMAN	0.8
DTNA_HUMAN	TBB3_HUMAN	0.8
DTNA_HUMAN	DMD_HUMAN	12.64
DTNA_HUMAN	RASK_HUMAN	1.6
DTNA_HUMAN	SCRIB_HUMAN	1.6
DTNA_HUMAN	SC6A4_HUMAN	0.64
DTNA_HUMAN	STAT3_HUMAN	0.8
DTNA_HUMAN	ANK3_HUMAN	0.8
CH60_HUMAN	CH60_HUMAN	151.2
CH60_HUMAN	PDIA3_HUMAN	0.8
CH60_HUMAN	PHB_HUMAN	1.6
CH60_HUMAN	PP1A_HUMAN	0.8
CH60_HUMAN	CTNB1_HUMAN	0.8
CH60_HUMAN	CXA1_HUMAN	1.28
CH60_HUMAN	LCK_HUMAN	1.6
CH60_HUMAN	BIP_HUMAN	2.4
CH60_HUMAN	HS90B_HUMAN	2.2
CH60_HUMAN	HSP7C_HUMAN	3.0000000000000004
CH60_HUMAN	HNRPK_HUMAN	1.28
CH60_HUMAN	GRP75_HUMAN	5.4399999999999995
CH60_HUMAN	TBA1A_HUMAN	0.8
CH60_HUMAN	ACTB_HUMAN	0.8
CH60_HUMAN	UTRN_HUMAN	1.6
CH60_HUMAN	ENPL_HUMAN	1.4
CH60_HUMAN	1433B_HUMAN	0.64
CH60_HUMAN	RASK_HUMAN	2.4000000000000004
PDIA3_HUMAN	PDIA3_HUMAN	12.0
PDIA3_HUMAN	CTNB1_HUMAN	0.8
PDIA3_HUMAN	CXA1_HUMAN	0.64
PDIA3_HUMAN	BIP_HUMAN	2.2
PDIA3_HUMAN	HSP7C_HUMAN	2.04
PDIA3_HUMAN	HNRPK_HUMAN	0.8
PDIA3_HUMAN	MARCS_HUMAN	1.6
PDIA3_HUMAN	ENPL_HUMAN	2.04
PDIA3_HUMAN	STAT3_HUMAN	2.8
PHB_HUMAN	PHB_HUMAN	1.6
PHB_HUMAN	CXA1_HUMAN	0.64
PHB_HUMAN	RAB2A_HUMAN	3.2
PHB_HUMAN	SC23A_HUMAN	0.8
PHB_HUMAN	BIP_HUMAN	1.6
PHB_HUMAN	HS90B_HUMAN	2.4000000000000004
PHB_HUMAN	HSP7C_HUMAN	0.8
PHB_HUMAN	HNRPK_HUMAN	0.8
PHB_HUMAN	MARCS_HUMAN	0.8
PHB_HUMAN	GRP75_HUMAN	2.2
PHB_HUMAN	ACTB_HUMAN	3.2
PHB_HUMAN	EZRI_HUMAN	0.8
PHB_HUMAN	ENPL_HUMAN	1.6
PHB_HUMAN	1433B_HUMAN	3.0400000000000005
PHB_HUMAN	TBB3_HUMAN	0.8
PHB_HUMAN	RASK_HUMAN	2.2
PHB_HUMAN	SC6A4_HUMAN	0.64
STX7_HUMAN	LIPA1_HUMAN	0.8
STX7_HUMAN	SAR1A_HUMAN	3.2
