UniProtID	UniProtID	score
MOES_HUMAN	TNFL6_HUMAN	0.8
MOES_HUMAN	SYUA_HUMAN	0.8
MOES_HUMAN	CTNB1_HUMAN	0.8
MOES_HUMAN	SPTN1_HUMAN	1
MOES_HUMAN	HNRPM_HUMAN	0.8
MOES_HUMAN	RNF11_HUMAN	0.8
MOES_HUMAN	SCNAA_HUMAN	0.64
MOES_HUMAN	P53_HUMAN	0.8
MOES_HUMAN	PLEC_HUMAN	0.64
MOES_HUMAN	STK10_HUMAN	0.8
MOES_HUMAN	TLN1_HUMAN	0.64
MOES_HUMAN	CDC37_HUMAN	0.8
MOES_HUMAN	NPM_HUMAN	0.8
MOES_HUMAN	GNS_HUMAN	1.28
MOES_HUMAN	CKAP5_HUMAN	0.8
MOES_HUMAN	CD2AP_HUMAN	0.8
MOES_HUMAN	BRD4_HUMAN	0.8
MOES_HUMAN	HDAC6_HUMAN	0.8
MOES_HUMAN	SYDC_HUMAN	0.8
MOES_HUMAN	TAU_HUMAN	0.8
MOES_HUMAN	MK03_HUMAN	0.64
MOES_HUMAN	MK10_HUMAN	3.8400000000000003
MOES_HUMAN	HSP7C_HUMAN	0.8
MOES_HUMAN	DYL1_HUMAN	0.8
MOES_HUMAN	1433Z_HUMAN	0.64
MOES_HUMAN	RPGF2_HUMAN	1.28
MOES_HUMAN	HDAC2_HUMAN	0.8
MOES_HUMAN	SRCAP_HUMAN	0.8
MOES_HUMAN	PTN1_HUMAN	2.4000000000000004
MOES_HUMAN	2A5D_HUMAN	0.8
MOES_HUMAN	RYBP_HUMAN	0.8
MOES_HUMAN	EZH2_HUMAN	0.8
MOES_HUMAN	CASPA_HUMAN	0.8
MOES_HUMAN	HNRPK_HUMAN	0.8
MOES_HUMAN	HSPB1_HUMAN	0.8
MOES_HUMAN	FGFR1_HUMAN	1.6
MOES_HUMAN	BIP_HUMAN	0.8
MOES_HUMAN	RAPH1_HUMAN	0.8
MOES_HUMAN	HCD2_HUMAN	0.8
MOES_HUMAN	RASH_HUMAN	0.8
MOES_HUMAN	BRCA1_HUMAN	1
MOES_HUMAN	IGF1R_HUMAN	1.6
MOES_HUMAN	HD_HUMAN	1.28
MOES_HUMAN	SYMC_HUMAN	0.8
MOES_HUMAN	KCNK3_HUMAN	0.8
MOES_HUMAN	TERF1_HUMAN	2.4000000000000004
MOES_HUMAN	NDKA_HUMAN	0.8
MOES_HUMAN	LIS1_HUMAN	0.8
MOES_HUMAN	CD11B_HUMAN	1.6
MOES_HUMAN	SC23A_HUMAN	0.8
MOES_HUMAN	SC24C_HUMAN	0.8
MOES_HUMAN	NRX1A_HUMAN	0.64
MOES_HUMAN	FLOT2_HUMAN	1.28
MOES_HUMAN	ELAV1_HUMAN	0.8
MOES_HUMAN	WDR1_HUMAN	0.8
MOES_HUMAN	VPS11_HUMAN	1
MOES_HUMAN	6PGD_HUMAN	0.8
MOES_HUMAN	ROA1_HUMAN	0.8
MOES_HUMAN	GSK3B_HUMAN	0.8
MOES_HUMAN	NCF1_HUMAN	2
MOES_HUMAN	UBC_HUMAN	0.64
MOES_HUMAN	G3P_HUMAN	0.8
MOES_HUMAN	TCPG_HUMAN	0.8
MOES_HUMAN	SUMO3_HUMAN	0.64
