UniProtID	UniProtID	score
CNTP2_HUMAN	DLG4_HUMAN	1
CNTP2_HUMAN	NECT1_HUMAN	0.64
CNTP2_HUMAN	ADA22_HUMAN	0.64
CNTP2_HUMAN	CTNB1_HUMAN	0.64
CNTP2_HUMAN	S4A4_HUMAN	0.64
CNTP2_HUMAN	KCNA4_HUMAN	0.64
CNTP2_HUMAN	SH3G1_HUMAN	0.64
CNTP2_HUMAN	CSKP_HUMAN	3.4400000000000004
CNTP2_HUMAN	TEN1_HUMAN	0.64
CNTP2_HUMAN	AGRL3_HUMAN	0.64
CNTP2_HUMAN	NPM_HUMAN	0.64
CNTP2_HUMAN	MTAP2_HUMAN	0.64
CNTP2_HUMAN	LIN7A_HUMAN	0.64
CNTP2_HUMAN	MPDZ_HUMAN	3.2
CNTP2_HUMAN	CNTP1_HUMAN	0.64
CNTP2_HUMAN	WNK2_HUMAN	0.64
CNTP2_HUMAN	E41L3_HUMAN	2.2800000000000002
CNTP2_HUMAN	PANX2_HUMAN	0.64
CNTP2_HUMAN	KCNH7_HUMAN	0.64
CNTP2_HUMAN	RAB6B_HUMAN	0.64
CNTP2_HUMAN	CYH2_HUMAN	0.64
CNTP2_HUMAN	MAP4_HUMAN	1.28
CNTP2_HUMAN	HDAC2_HUMAN	0.64
CNTP2_HUMAN	GABR2_HUMAN	0.8
CNTP2_HUMAN	ZMIZ1_HUMAN	1.6
CNTP2_HUMAN	SHAN1_HUMAN	0.64
CNTP2_HUMAN	MAP1A_HUMAN	0.64
CNTP2_HUMAN	ITPR1_HUMAN	1.28
CNTP2_HUMAN	BIP_HUMAN	1
CNTP2_HUMAN	TNR6B_HUMAN	0.64
CNTP2_HUMAN	SNP25_HUMAN	0.64
CNTP2_HUMAN	APBB1_HUMAN	0.64
CNTP2_HUMAN	MAP1B_HUMAN	0.64
CNTP2_HUMAN	HS12A_HUMAN	0.64
CNTP2_HUMAN	UBP2L_HUMAN	0.64
CNTP2_HUMAN	CTR9_HUMAN	1.6
CNTP2_HUMAN	IQCB1_HUMAN	1.6
CNTP2_HUMAN	CALX_HUMAN	3
CNTP2_HUMAN	PDIA3_HUMAN	1
CNTP2_HUMAN	MEOX2_HUMAN	4.0
CNTP2_HUMAN	RPB7_HUMAN	3.2
CNTP2_HUMAN	GORS2_HUMAN	3.2
CNTP2_HUMAN	CNTN1_HUMAN	6.6
CNTP2_HUMAN	MACF1_HUMAN	0.8
CNTP2_HUMAN	CBPE_HUMAN	3
CNTP2_HUMAN	CNTN2_HUMAN	3.64
CNTP2_HUMAN	KCNA2_HUMAN	2.6
CNTP2_HUMAN	LRC31_HUMAN	0.8
CNTP2_HUMAN	MPP2_HUMAN	1.6400000000000001
CNTP2_HUMAN	TBB2A_HUMAN	0.64
CNTP2_HUMAN	TBB2B_HUMAN	0.64
CNTP2_HUMAN	CNTP2_HUMAN	2.56
CNTP2_HUMAN	TBA1B_HUMAN	0.64
CNTP2_HUMAN	TBA1A_HUMAN	0.64
CNTP2_HUMAN	MYH10_HUMAN	0.64
CNTP2_HUMAN	SYN1_HUMAN	0.64
CNTP2_HUMAN	GPR37_HUMAN	1.6
CNTP2_HUMAN	KCAB2_HUMAN	1.28
CNTP2_HUMAN	KCND3_HUMAN	1.28
CNTP2_HUMAN	KCIP2_HUMAN	0.64
CNTP2_HUMAN	KCNQ2_HUMAN	1.28
CNTP2_HUMAN	SEPT3_HUMAN	0.64
CNTP2_HUMAN	SEPT7_HUMAN	0.64
CNTP2_HUMAN	SEP11_HUMAN	0.64
CNTP2_HUMAN	SMAP_HUMAN	0.64
CNTP2_HUMAN	ADDG_HUMAN	0.64
CNTP2_HUMAN	AGRL1_HUMAN	0.64
CNTP2_HUMAN	AGAP2_HUMAN	0.64
CNTP2_HUMAN	AKT2_HUMAN	0.64
CNTP2_HUMAN	AMER2_HUMAN	0.64
CNTP2_HUMAN	AQP4_HUMAN	0.64
CNTP2_HUMAN	ARF5_HUMAN	0.64
CNTP2_HUMAN	ARFG1_HUMAN	0.64
CNTP2_HUMAN	AT2C1_HUMAN	0.64
CNTP2_HUMAN	BASP1_HUMAN	0.64
CNTP2_HUMAN	CAC1A_HUMAN	0.64
CNTP2_HUMAN	CACB1_HUMAN	0.64
CNTP2_HUMAN	CSKI1_HUMAN	0.64
CNTP2_HUMAN	TCPQ_HUMAN	0.64
CNTP2_HUMAN	CKAP4_HUMAN	0.64
CNTP2_HUMAN	CNDP2_HUMAN	0.64
CNTP2_HUMAN	CRIP2_HUMAN	0.64
CNTP2_HUMAN	KC1E_HUMAN	0.64
CNTP2_HUMAN	CXAR_HUMAN	0.64
CNTP2_HUMAN	DHX29_HUMAN	0.64
CNTP2_HUMAN	EDC4_HUMAN	0.64
CNTP2_HUMAN	EF1G_HUMAN	0.64
CNTP2_HUMAN	EHBP1_HUMAN	0.64
CNTP2_HUMAN	EPB41_HUMAN	0.64
CNTP2_HUMAN	E41L1_HUMAN	0.64
CNTP2_HUMAN	E41L2_HUMAN	0.64
CNTP2_HUMAN	F131B_HUMAN	0.64
CNTP2_HUMAN	F1712_HUMAN	0.64
CNTP2_HUMAN	F171B_HUMAN	0.64
CNTP2_HUMAN	FLOT1_HUMAN	0.64
CNTP2_HUMAN	FLOT2_HUMAN	0.64
CNTP2_HUMAN	GGT7_HUMAN	0.64
CNTP2_HUMAN	MGLYR_HUMAN	0.64
CNTP2_HUMAN	NMDE1_HUMAN	0.64
CNTP2_HUMAN	H2AY_HUMAN	0.64
CNTP2_HUMAN	HCN1_HUMAN	0.64
CNTP2_HUMAN	H15_HUMAN	0.64
CNTP2_HUMAN	H2A2A_HUMAN	0.64
CNTP2_HUMAN	H2A1B_HUMAN	0.64
CNTP2_HUMAN	H2A1_HUMAN	0.64
CNTP2_HUMAN	H2A1D_HUMAN	0.64
CNTP2_HUMAN	H2AJ_HUMAN	0.64
CNTP2_HUMAN	H2A1A_HUMAN	0.64
CNTP2_HUMAN	H2A2B_HUMAN	0.64
CNTP2_HUMAN	H2A3_HUMAN	0.64
CNTP2_HUMAN	H2A1J_HUMAN	0.64
CNTP2_HUMAN	H2AX_HUMAN	0.64
CNTP2_HUMAN	H2A1C_HUMAN	0.64
CNTP2_HUMAN	H2A2C_HUMAN	0.64
CNTP2_HUMAN	H2A1H_HUMAN	0.64
CNTP2_HUMAN	IGSF3_HUMAN	0.64
CNTP2_HUMAN	KCNA1_HUMAN	0.64
CNTP2_HUMAN	KCAB1_HUMAN	0.64
CNTP2_HUMAN	KCND2_HUMAN	0.64
