UniProtID	UniProtID	score
PURA_HUMAN	ESR1_HUMAN	3.2
PURA_HUMAN	ACTN1_HUMAN	0.8
PURA_HUMAN	CLH1_HUMAN	0.8
PURA_HUMAN	MLP3A_HUMAN	0.8
PURA_HUMAN	SP1_HUMAN	1
PURA_HUMAN	GBRL2_HUMAN	0.8
PURA_HUMAN	RAF1_HUMAN	1.6
PURA_HUMAN	KI67_HUMAN	1.6
PURA_HUMAN	LRBA_HUMAN	0.8
PURA_HUMAN	DLGP1_HUMAN	1.28
PURA_HUMAN	RL13_HUMAN	0.8
PURA_HUMAN	TNIK_HUMAN	1.28
PURA_HUMAN	TAU_HUMAN	1.44
PURA_HUMAN	1433E_HUMAN	0.64
PURA_HUMAN	MBB1A_HUMAN	0.8
PURA_HUMAN	RC3H1_HUMAN	0.8
PURA_HUMAN	RARA_HUMAN	1.28
PURA_HUMAN	SNW1_HUMAN	2.4000000000000004
PURA_HUMAN	SCYL2_HUMAN	1.6
PURA_HUMAN	RS6_HUMAN	0.8
PURA_HUMAN	VIME_HUMAN	0.8
PURA_HUMAN	AGO2_HUMAN	0.8
PURA_HUMAN	RB11A_HUMAN	1.6
PURA_HUMAN	H4_HUMAN	0.8
PURA_HUMAN	1433F_HUMAN	0.8
PURA_HUMAN	RASH_HUMAN	0.8
PURA_HUMAN	RB_HUMAN	8
PURA_HUMAN	PP1A_HUMAN	1.44
PURA_HUMAN	MAST1_HUMAN	1.6
PURA_HUMAN	CSK_HUMAN	0.8
PURA_HUMAN	NRBP_HUMAN	0.8
PURA_HUMAN	1433G_HUMAN	0.8
PURA_HUMAN	FAK1_HUMAN	1.6
PURA_HUMAN	NEB2_HUMAN	1.28
PURA_HUMAN	SLK_HUMAN	0.8
PURA_HUMAN	ABI1_HUMAN	0.8
PURA_HUMAN	TAOK2_HUMAN	0.64
PURA_HUMAN	RL4_HUMAN	0.8
PURA_HUMAN	ROA1_HUMAN	0.8
PURA_HUMAN	UBC_HUMAN	0.8
PURA_HUMAN	CDK1_HUMAN	0.8
PURA_HUMAN	KCMA1_HUMAN	0.64
PURA_HUMAN	BRD7_HUMAN	0.8
PURA_HUMAN	KSYK_HUMAN	1.6
PURA_HUMAN	PSD11_HUMAN	0.8
PURA_HUMAN	RLA0_HUMAN	0.8
PURA_HUMAN	VGFR3_HUMAN	1.6
PURA_HUMAN	VIGLN_HUMAN	0.8
PURA_HUMAN	PP1B_HUMAN	0.8
PURA_HUMAN	IF4G1_HUMAN	0.8
PURA_HUMAN	HUWE1_HUMAN	1.28
PURA_HUMAN	MYCN_HUMAN	0.8
PURA_HUMAN	YTDC1_HUMAN	0.8
PURA_HUMAN	HNRPL_HUMAN	0.8
PURA_HUMAN	FMR1_HUMAN	0.64
PURA_HUMAN	RBM39_HUMAN	0.8
PURA_HUMAN	RL14_HUMAN	0.8
PURA_HUMAN	PTEN_HUMAN	0.8
PURA_HUMAN	SYGP1_HUMAN	2.56
PURA_HUMAN	PDCD4_HUMAN	0.8
PURA_HUMAN	LIPA1_HUMAN	0.8
PURA_HUMAN	SRSF3_HUMAN	0.8
PURA_HUMAN	PRIO_HUMAN	0.8
PURA_HUMAN	PRKN_HUMAN	0.8
PURA_HUMAN	ARI2_HUMAN	0.8
PURA_HUMAN	CCNA2_HUMAN	0.8
PURA_HUMAN	MYOME_HUMAN	1.28
PURA_HUMAN	PACE1_HUMAN	1.6
PURA_HUMAN	TSC1_HUMAN	1.28
PURA_HUMAN	NCKP1_HUMAN	0.8
PURA_HUMAN	HS105_HUMAN	0.8
PURA_HUMAN	ESR2_HUMAN	0.8
PURA_HUMAN	U3IP2_HUMAN	0.8
PURA_HUMAN	RSSA_HUMAN	0.8
PURA_HUMAN	UBE2H_HUMAN	0.8
PURA_HUMAN	RL19_HUMAN	0.8
PURA_HUMAN	HABP4_HUMAN	0.8
PURA_HUMAN	SERB1_HUMAN	0.8
PURA_HUMAN	SRPK2_HUMAN	1.6
PURA_HUMAN	NTRK1_HUMAN	0.8
PURA_HUMAN	CYFP2_HUMAN	0.8
PURA_HUMAN	FXR1_HUMAN	1.28
PURA_HUMAN	RL31_HUMAN	0.8
PURA_HUMAN	OGT1_HUMAN	0.8
PURA_HUMAN	CCNH_HUMAN	0.8
PURA_HUMAN	LYAR_HUMAN	0.8
PURA_HUMAN	PRKRA_HUMAN	0.8
PURA_HUMAN	TGM2_HUMAN	0.8
PURA_HUMAN	EP300_HUMAN	0.8
PURA_HUMAN	CCND1_HUMAN	0.8
PURA_HUMAN	CDK4_HUMAN	0.8
PURA_HUMAN	RL35_HUMAN	0.8
PURA_HUMAN	H12_HUMAN	0.8
PURA_HUMAN	FUS_HUMAN	0.64
PURA_HUMAN	RL13A_HUMAN	0.8
PURA_HUMAN	JUN_HUMAN	0.8
PURA_HUMAN	MYC_HUMAN	0.8
PURA_HUMAN	CUL3_HUMAN	1.6
PURA_HUMAN	SYNPO_HUMAN	0.8
PURA_HUMAN	SGK3_HUMAN	1.6
PURA_HUMAN	ZBT7B_HUMAN	0.64
PURA_HUMAN	RS19_HUMAN	0.8
PURA_HUMAN	TNIP2_HUMAN	0.8
PURA_HUMAN	VATA_HUMAN	0.64
PURA_HUMAN	CDK5_HUMAN	1.44
PURA_HUMAN	ZNF71_HUMAN	0.8
PURA_HUMAN	XPO7_HUMAN	0.64
PURA_HUMAN	RL17_HUMAN	0.8
PURA_HUMAN	PRS4_HUMAN	0.8
PURA_HUMAN	RS10_HUMAN	1.6
PURA_HUMAN	SRSF5_HUMAN	0.8
PURA_HUMAN	SURF2_HUMAN	1.6
PURA_HUMAN	RU17_HUMAN	0.8
PURA_HUMAN	CCAR2_HUMAN	0.8
PURA_HUMAN	SC6A4_HUMAN	0.64
PURA_HUMAN	BIG1_HUMAN	0.8
PURA_HUMAN	KIF23_HUMAN	0.8
PURA_HUMAN	MAGB2_HUMAN	0.8
PURA_HUMAN	ANM1_HUMAN	0.8
PURA_HUMAN	A16L1_HUMAN	1.44
PURA_HUMAN	CTCF_HUMAN	1.6
PURA_HUMAN	MECP2_HUMAN	0.64
PURA_HUMAN	RL15_HUMAN	0.8
PURA_HUMAN	RL1D1_HUMAN	0.8
PURA_HUMAN	CFTR_HUMAN	4.0
PURA_HUMAN	ZRAN1_HUMAN	0.8
PURA_HUMAN	DGCR8_HUMAN	0.8
PURA_HUMAN	G3BP1_HUMAN	0.8
PURA_HUMAN	LYRIC_HUMAN	1.6
PURA_HUMAN	RS3_HUMAN	0.8
PURA_HUMAN	RS8_HUMAN	1.6
PURA_HUMAN	CAND1_HUMAN	1.6
PURA_HUMAN	CCNE1_HUMAN	0.8
PURA_HUMAN	ICAM1_HUMAN	0.8
PURA_HUMAN	MCM3_HUMAN	0.8
PURA_HUMAN	RL23A_HUMAN	0.8
PURA_HUMAN	IPO9_HUMAN	0.8
PURA_HUMAN	RL3_HUMAN	0.8
PURA_HUMAN	H2A1B_HUMAN	0.8
PURA_HUMAN	VGFR1_HUMAN	1.6
PURA_HUMAN	LIMA1_HUMAN	0.8
PURA_HUMAN	H2A1_HUMAN	0.8
PURA_HUMAN	H11_HUMAN	1.6
PURA_HUMAN	RNF43_HUMAN	0.8
PURA_HUMAN	CUL1_HUMAN	1.6
PURA_HUMAN	PKHA7_HUMAN	0.8
PURA_HUMAN	BMI1_HUMAN	3.2
PURA_HUMAN	CUL4A_HUMAN	0.8
PURA_HUMAN	OTU6B_HUMAN	1.6
PURA_HUMAN	MEPCE_HUMAN	1.6
PURA_HUMAN	UBP36_HUMAN	0.8
PURA_HUMAN	RINI_HUMAN	0.8
PURA_HUMAN	NHP2_HUMAN	0.8
PURA_HUMAN	PLK3_HUMAN	1.6
PURA_HUMAN	SNAI1_HUMAN	0.8
PURA_HUMAN	H2A2C_HUMAN	0.8
PURA_HUMAN	FACD2_HUMAN	0.64
PURA_HUMAN	PURB_HUMAN	2.24
PURA_HUMAN	RED1_HUMAN	0.8
PURA_HUMAN	ZN638_HUMAN	0.8
PURA_HUMAN	TIA1_HUMAN	0.64
PURA_HUMAN	E2AK2_HUMAN	3.2
PURA_HUMAN	H14_HUMAN	2.4000000000000004
PURA_HUMAN	RRS1_HUMAN	2.4000000000000004
PURA_HUMAN	ZCRB1_HUMAN	2.4000000000000004
PURA_HUMAN	ZDHC5_HUMAN	1.6
PURA_HUMAN	MOT11_HUMAN	0.8
PURA_HUMAN	OASL_HUMAN	1.6
PURA_HUMAN	P2RY6_HUMAN	1.6
PURA_HUMAN	KPSH1_HUMAN	1.6
PURA_HUMAN	DYRK2_HUMAN	1.6
PURA_HUMAN	SRPK3_HUMAN	1.6
PURA_HUMAN	CPEB1_HUMAN	1.6
PURA_HUMAN	CNBP_HUMAN	1.6
