UniProtID	UniProtID	score
MAP6_HUMAN	CALM1_HUMAN	1.28
MAP6_HUMAN	SRC_HUMAN	0.8
MAP6_HUMAN	UBC_HUMAN	0.64
MAP6_HUMAN	1433Z_HUMAN	0.64
MAP6_HUMAN	SNP25_HUMAN	1.28
MAP6_HUMAN	RAB7A_HUMAN	0.8
MAP6_HUMAN	TAU_HUMAN	0.64
MAP6_HUMAN	HD_HUMAN	0.64
MAP6_HUMAN	PLCG1_HUMAN	0.8
MAP6_HUMAN	SYUA_HUMAN	0.64
MAP6_HUMAN	ITSN1_HUMAN	1.44
MAP6_HUMAN	KCMA1_HUMAN	0.64
MAP6_HUMAN	NRP1_HUMAN	1.28
MAP6_HUMAN	AGAP2_HUMAN	1.28
MAP6_HUMAN	PSN1_HUMAN	0.64
MAP6_HUMAN	NEB2_HUMAN	1.28
MAP6_HUMAN	CALM2_HUMAN	1.92
MAP6_HUMAN	1433B_HUMAN	0.64
MAP6_HUMAN	KCC2A_HUMAN	0.64
MAP6_HUMAN	CALM3_HUMAN	1.28
MAP6_HUMAN	MK01_HUMAN	0.64
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	SRC_HUMAN	1.0
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	1433Z_HUMAN	1.28
CALM1_HUMAN	TAU_HUMAN	1.8
CALM1_HUMAN	HD_HUMAN	0.8
CALM1_HUMAN	SYUA_HUMAN	4.92
CALM1_HUMAN	KCMA1_HUMAN	3.36
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	KCC2A_HUMAN	4.16
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	UBC_HUMAN	3.4000000000000004
SRC_HUMAN	TAU_HUMAN	4.0
SRC_HUMAN	PLCG1_HUMAN	2.24
SRC_HUMAN	SYUA_HUMAN	1.6
SRC_HUMAN	AGAP2_HUMAN	1.28
SRC_HUMAN	CALM2_HUMAN	1.0
SRC_HUMAN	1433B_HUMAN	1.24
SRC_HUMAN	CALM3_HUMAN	1.0
SRC_HUMAN	MK01_HUMAN	1.6
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	1433Z_HUMAN	2.24
UBC_HUMAN	SNP25_HUMAN	0.64
UBC_HUMAN	TAU_HUMAN	1.0
UBC_HUMAN	HD_HUMAN	3.2
UBC_HUMAN	SYUA_HUMAN	3.24
UBC_HUMAN	ITSN1_HUMAN	1.24
UBC_HUMAN	KCMA1_HUMAN	0.64
UBC_HUMAN	PSN1_HUMAN	1.8
UBC_HUMAN	CALM2_HUMAN	1.44
UBC_HUMAN	1433B_HUMAN	2.8800000000000003
UBC_HUMAN	KCC2A_HUMAN	0.64
UBC_HUMAN	CALM3_HUMAN	1.44
1433Z_HUMAN	1433Z_HUMAN	164.4
1433Z_HUMAN	SNP25_HUMAN	0.64
1433Z_HUMAN	TAU_HUMAN	25.040000000000003
1433Z_HUMAN	SYUA_HUMAN	2.88
1433Z_HUMAN	KCMA1_HUMAN	1.28
1433Z_HUMAN	NEB2_HUMAN	1.28
1433Z_HUMAN	CALM2_HUMAN	3.5200000000000005
1433Z_HUMAN	1433B_HUMAN	10.36
1433Z_HUMAN	KCC2A_HUMAN	1.28
1433Z_HUMAN	CALM3_HUMAN	1.28
1433Z_HUMAN	MK01_HUMAN	0.6
SNP25_HUMAN	SNP25_HUMAN	187.20000000000073
SNP25_HUMAN	TAU_HUMAN	1.28
SNP25_HUMAN	HD_HUMAN	2.24
SNP25_HUMAN	SYUA_HUMAN	4.8
SNP25_HUMAN	ITSN1_HUMAN	7.2
SNP25_HUMAN	NEB2_HUMAN	0.64
SNP25_HUMAN	1433B_HUMAN	0.64
RAB7A_HUMAN	RAB7A_HUMAN	24.0
TAU_HUMAN	TAU_HUMAN	660.88
TAU_HUMAN	PLCG1_HUMAN	4.0
TAU_HUMAN	SYUA_HUMAN	6.0
TAU_HUMAN	PSN1_HUMAN	2.92
TAU_HUMAN	CALM2_HUMAN	1.8
TAU_HUMAN	1433B_HUMAN	5.68
TAU_HUMAN	KCC2A_HUMAN	2.64
TAU_HUMAN	CALM3_HUMAN	1.8
TAU_HUMAN	MK01_HUMAN	2.2800000000000002
HD_HUMAN	HD_HUMAN	40.400000000000006
HD_HUMAN	SYUA_HUMAN	4.0
HD_HUMAN	CALM2_HUMAN	8.799999999999999
HD_HUMAN	1433B_HUMAN	8.799999999999999
HD_HUMAN	CALM3_HUMAN	0.8
PLCG1_HUMAN	PLCG1_HUMAN	20.799999999999997
PLCG1_HUMAN	AGAP2_HUMAN	3.2
PLCG1_HUMAN	KCC2A_HUMAN	1.0
SYUA_HUMAN	SYUA_HUMAN	1541.2
SYUA_HUMAN	AGAP2_HUMAN	1.28
SYUA_HUMAN	NEB2_HUMAN	0.64
SYUA_HUMAN	CALM2_HUMAN	6.319999999999999
SYUA_HUMAN	1433B_HUMAN	1.6
SYUA_HUMAN	KCC2A_HUMAN	0.64
SYUA_HUMAN	CALM3_HUMAN	3.9200000000000004
SYUA_HUMAN	MK01_HUMAN	2.0
ITSN1_HUMAN	ITSN1_HUMAN	19.2
ITSN1_HUMAN	1433B_HUMAN	0.64
KCMA1_HUMAN	KCMA1_HUMAN	88.0
KCMA1_HUMAN	NEB2_HUMAN	0.64
KCMA1_HUMAN	CALM2_HUMAN	4.159999999999999
KCMA1_HUMAN	1433B_HUMAN	1.28
KCMA1_HUMAN	CALM3_HUMAN	3.36
NRP1_HUMAN	NRP1_HUMAN	30.4
