UniProtID	UniProtID	score
CDIPT_HUMAN	SDCB1_HUMAN	3.2
CDIPT_HUMAN	LNX1_HUMAN	3.2
CDIPT_HUMAN	P53_HUMAN	0.8
CDIPT_HUMAN	NU155_HUMAN	0.8
CDIPT_HUMAN	ATG9A_HUMAN	0.8
CDIPT_HUMAN	GPR45_HUMAN	0.8
CDIPT_HUMAN	TGON2_HUMAN	0.8
CDIPT_HUMAN	ORC1_HUMAN	1.6
CDIPT_HUMAN	RIT1_HUMAN	0.8
CDIPT_HUMAN	A4_HUMAN	0.8
CDIPT_HUMAN	TAU_HUMAN	0.64
CDIPT_HUMAN	PTN1_HUMAN	0.8
CDIPT_HUMAN	CLN5_HUMAN	0.8
CDIPT_HUMAN	YTHD1_HUMAN	2.4000000000000004
CDIPT_HUMAN	EZH2_HUMAN	0.8
CDIPT_HUMAN	EGFR_HUMAN	1.6
CDIPT_HUMAN	GCR_HUMAN	0.8
CDIPT_HUMAN	NEB2_HUMAN	0.8
CDIPT_HUMAN	ECH1_HUMAN	0.8
CDIPT_HUMAN	CSN5_HUMAN	0.8
CDIPT_HUMAN	STAU1_HUMAN	1.6
CDIPT_HUMAN	ARF6_HUMAN	0.8
CDIPT_HUMAN	TNR1A_HUMAN	0.8
CDIPT_HUMAN	RTN3_HUMAN	3.2
CDIPT_HUMAN	NCPR_HUMAN	0.64
CDIPT_HUMAN	RLA1_HUMAN	1.6
CDIPT_HUMAN	CIC_HUMAN	0.8
CDIPT_HUMAN	COIL_HUMAN	0.8
CDIPT_HUMAN	RAP1B_HUMAN	0.64
CDIPT_HUMAN	RASK_HUMAN	1.6
CDIPT_HUMAN	GRM2_HUMAN	0.8
CDIPT_HUMAN	ESR2_HUMAN	0.8
CDIPT_HUMAN	PDE2A_HUMAN	0.8
CDIPT_HUMAN	CAZA2_HUMAN	1.6
CDIPT_HUMAN	UBE2H_HUMAN	0.8
CDIPT_HUMAN	NTRK1_HUMAN	1.6
CDIPT_HUMAN	RFA1_HUMAN	0.8
CDIPT_HUMAN	RFA2_HUMAN	0.8
CDIPT_HUMAN	RFA3_HUMAN	0.8
CDIPT_HUMAN	CYFP2_HUMAN	0.64
CDIPT_HUMAN	MYPR_HUMAN	0.8
CDIPT_HUMAN	RGS14_HUMAN	0.64
CDIPT_HUMAN	NTRK3_HUMAN	1.6
CDIPT_HUMAN	IQCB1_HUMAN	1.6
CDIPT_HUMAN	GLUT4_HUMAN	0.64
CDIPT_HUMAN	AGO4_HUMAN	0.8
CDIPT_HUMAN	NLRX1_HUMAN	1.6
CDIPT_HUMAN	UN93B_HUMAN	1.44
CDIPT_HUMAN	SARM1_HUMAN	1.44
CDIPT_HUMAN	MK06_HUMAN	1.6
CDIPT_HUMAN	RIPK4_HUMAN	0.8
CDIPT_HUMAN	SAMD1_HUMAN	1.6
CDIPT_HUMAN	TTC5_HUMAN	2.4000000000000004
CDIPT_HUMAN	DCC1_HUMAN	2.4000000000000004
CDIPT_HUMAN	ST32C_HUMAN	1.6
CDIPT_HUMAN	SG196_HUMAN	1.6
CDIPT_HUMAN	HSC20_HUMAN	1.6
CDIPT_HUMAN	M4A14_HUMAN	3.2
CDIPT_HUMAN	JAGN1_HUMAN	3.2
CDIPT_HUMAN	AQP6_HUMAN	3.2
CDIPT_HUMAN	RETR3_HUMAN	3.2
CDIPT_HUMAN	GPX8_HUMAN	3.2
CDIPT_HUMAN	DHB13_HUMAN	3.2
CDIPT_HUMAN	MGST3_HUMAN	3.2
CDIPT_HUMAN	NB5R3_HUMAN	3.2
CDIPT_HUMAN	TMX2_HUMAN	3.2
CDIPT_HUMAN	IR3IP_HUMAN	3.2
CDIPT_HUMAN	FFAR2_HUMAN	3.2
CDIPT_HUMAN	VMA21_HUMAN	3.2
CDIPT_HUMAN	GP101_HUMAN	3.2
CDIPT_HUMAN	SIG12_HUMAN	3.2
CDIPT_HUMAN	F209A_HUMAN	3.2
CDIPT_HUMAN	RN19B_HUMAN	3.2
CDIPT_HUMAN	ERGI3_HUMAN	3.2
CDIPT_HUMAN	AQP2_HUMAN	3.2
CDIPT_HUMAN	CTR1_HUMAN	3.2
CDIPT_HUMAN	CY561_HUMAN	3.2
CDIPT_HUMAN	CISD2_HUMAN	3.2
CDIPT_HUMAN	KCNK1_HUMAN	3.2
CDIPT_HUMAN	IBP6_HUMAN	3.2
CDIPT_HUMAN	CGRF1_HUMAN	3.2
CDIPT_HUMAN	SCAI_HUMAN	3.2
CDIPT_HUMAN	KI2L3_HUMAN	2.4000000000000004
CDIPT_HUMAN	CXB1_HUMAN	3.2
CDIPT_HUMAN	RELL2_HUMAN	3.2
CDIPT_HUMAN	TLCD4_HUMAN	3.2
CDIPT_HUMAN	MOT2_HUMAN	3.2
CDIPT_HUMAN	IF3M_HUMAN	3.2
CDIPT_HUMAN	GOLM1_HUMAN	3.2
CDIPT_HUMAN	GP152_HUMAN	3.2
