UniProtID	UniProtID	score
KGUA_HUMAN	RL19_HUMAN	0.64
KGUA_HUMAN	NDK3_HUMAN	0.6
KGUA_HUMAN	5NTD_HUMAN	0.6
KGUA_HUMAN	SORCN_HUMAN	0.8
KGUA_HUMAN	PRDX5_HUMAN	0.8
KGUA_HUMAN	PRDX6_HUMAN	0.8
KGUA_HUMAN	RS17_HUMAN	0.64
KGUA_HUMAN	DLG5_HUMAN	0.6
KGUA_HUMAN	NDKB_HUMAN	0.6
KGUA_HUMAN	COX5A_HUMAN	0.8
KGUA_HUMAN	KPYR_HUMAN	0.6
KGUA_HUMAN	NLGN3_HUMAN	0.8
KGUA_HUMAN	NDKA_HUMAN	0.6
KGUA_HUMAN	HNRPD_HUMAN	1.44
KGUA_HUMAN	5NT1B_HUMAN	0.6
KGUA_HUMAN	GBRL2_HUMAN	0.8
KGUA_HUMAN	AMPL_HUMAN	0.8
KGUA_HUMAN	RS26_HUMAN	0.64
KGUA_HUMAN	RIR1_HUMAN	0.6
KGUA_HUMAN	GSTK1_HUMAN	0.8
KGUA_HUMAN	NDUA4_HUMAN	3.2
KGUA_HUMAN	ANXA1_HUMAN	0.8
RL19_HUMAN	RS17_HUMAN	1.44
RL19_HUMAN	GBRL2_HUMAN	0.8
RL19_HUMAN	RS26_HUMAN	3.0000000000000004
NDK3_HUMAN	NDK3_HUMAN	24.0
NDK3_HUMAN	NDKB_HUMAN	5.4399999999999995
NDK3_HUMAN	KPYR_HUMAN	0.6
NDK3_HUMAN	NDKA_HUMAN	8.639999999999999
NDK3_HUMAN	RIR1_HUMAN	0.6
5NTD_HUMAN	5NTD_HUMAN	76.0
5NTD_HUMAN	5NT1B_HUMAN	0.6
SORCN_HUMAN	SORCN_HUMAN	44.0
PRDX5_HUMAN	PRDX5_HUMAN	80.0
PRDX5_HUMAN	PRDX6_HUMAN	2.2
PRDX5_HUMAN	NDKB_HUMAN	1.6
PRDX5_HUMAN	NDKA_HUMAN	1.4
PRDX5_HUMAN	GBRL2_HUMAN	0.8
PRDX6_HUMAN	PRDX6_HUMAN	29.2
PRDX6_HUMAN	NDKA_HUMAN	2.4000000000000004
PRDX6_HUMAN	GBRL2_HUMAN	0.8
PRDX6_HUMAN	AMPL_HUMAN	0.8
PRDX6_HUMAN	ANXA1_HUMAN	0.8
RS17_HUMAN	NDKB_HUMAN	0.64
RS17_HUMAN	GBRL2_HUMAN	0.8
RS17_HUMAN	RS26_HUMAN	3.0400000000000005
NDKB_HUMAN	NDKB_HUMAN	128.8
NDKB_HUMAN	KPYR_HUMAN	0.6
NDKB_HUMAN	NDKA_HUMAN	8.84
NDKB_HUMAN	NDUA4_HUMAN	0.8
COX5A_HUMAN	COX5A_HUMAN	1.6
COX5A_HUMAN	AMPL_HUMAN	0.8
COX5A_HUMAN	GSTK1_HUMAN	0.8
COX5A_HUMAN	NDUA4_HUMAN	5.239999999999999
KPYR_HUMAN	KPYR_HUMAN	173.2
KPYR_HUMAN	NDKA_HUMAN	0.6
KPYR_HUMAN	RIR1_HUMAN	0.6
KPYR_HUMAN	ANXA1_HUMAN	0.8
NLGN3_HUMAN	NLGN3_HUMAN	1.6
NDKA_HUMAN	NDKA_HUMAN	211.20000000000002
NDKA_HUMAN	RIR1_HUMAN	0.6
NDKA_HUMAN	NDUA4_HUMAN	1.6
HNRPD_HUMAN	HNRPD_HUMAN	11.6
HNRPD_HUMAN	GBRL2_HUMAN	0.8
GBRL2_HUMAN	GBRL2_HUMAN	12.0
RIR1_HUMAN	RIR1_HUMAN	48.800000000000004
GSTK1_HUMAN	GSTK1_HUMAN	43.6
NDUA4_HUMAN	NDUA4_HUMAN	1.6
ANXA1_HUMAN	ANXA1_HUMAN	2.0
