UniProtID	UniProtID	score
GBRG2_HUMAN	UBC_HUMAN	0.8
GBRG2_HUMAN	RL40_HUMAN	0.8
GBRG2_HUMAN	GBRT_HUMAN	0.6
GBRG2_HUMAN	GBRB1_HUMAN	3.0
GBRG2_HUMAN	GBRB3_HUMAN	9.6
GBRG2_HUMAN	RS27A_HUMAN	0.8
GBRG2_HUMAN	GRM5_HUMAN	0.8
GBRG2_HUMAN	GABR2_HUMAN	0.6
GBRG2_HUMAN	NPTN_HUMAN	0.6
GBRG2_HUMAN	GABR1_HUMAN	0.64
GBRG2_HUMAN	GBRA3_HUMAN	0.6
GBRG2_HUMAN	GBRD_HUMAN	0.6
GBRG2_HUMAN	KIF5C_HUMAN	2.4000000000000004
GBRG2_HUMAN	PP2BA_HUMAN	1.6
GBRG2_HUMAN	CALX_HUMAN	1.6
GBRG2_HUMAN	MFN2_HUMAN	0.8
GBRG2_HUMAN	AP2M1_HUMAN	0.8
GBRG2_HUMAN	GEPH_HUMAN	0.6
GBRG2_HUMAN	GBRB2_HUMAN	18.6
GBRG2_HUMAN	GBRA5_HUMAN	0.6
GBRG2_HUMAN	DRD5_HUMAN	2.0
GBRG2_HUMAN	GBRA2_HUMAN	2.24
GBRG2_HUMAN	CPT1A_HUMAN	0.8
GBRG2_HUMAN	KPCG_HUMAN	0.8
GBRG2_HUMAN	ARHG9_HUMAN	0.6
GBRG2_HUMAN	GIT1_HUMAN	0.8
GBRG2_HUMAN	GBRG1_HUMAN	2.2
GBRG2_HUMAN	GBRA1_HUMAN	18.64
GBRG2_HUMAN	GBRA6_HUMAN	0.6
GBRG2_HUMAN	KINH_HUMAN	1.6
GBRG2_HUMAN	ERBB4_HUMAN	1.6
GBRG2_HUMAN	KCD12_HUMAN	0.8
GBRG2_HUMAN	GBRA4_HUMAN	0.6
GBRG2_HUMAN	UBB_HUMAN	0.8
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	RL40_HUMAN	1.7999999999999998
UBC_HUMAN	RS27A_HUMAN	2.44
UBC_HUMAN	GABR2_HUMAN	1.44
UBC_HUMAN	NPTN_HUMAN	0.8
UBC_HUMAN	GABR1_HUMAN	1.44
UBC_HUMAN	PP2BA_HUMAN	0.64
UBC_HUMAN	CALX_HUMAN	0.64
UBC_HUMAN	MFN2_HUMAN	0.6
UBC_HUMAN	AP2M1_HUMAN	4.28
UBC_HUMAN	GEPH_HUMAN	0.64
UBC_HUMAN	CPT1A_HUMAN	0.8
UBC_HUMAN	KPCG_HUMAN	0.64
UBC_HUMAN	GBRA1_HUMAN	0.64
UBC_HUMAN	UBB_HUMAN	3.8
RL40_HUMAN	RL40_HUMAN	61.4
RL40_HUMAN	RS27A_HUMAN	3.4000000000000004
RL40_HUMAN	MFN2_HUMAN	0.6
RL40_HUMAN	AP2M1_HUMAN	1.4
RL40_HUMAN	UBB_HUMAN	15.8
GBRT_HUMAN	GBRB1_HUMAN	0.6
GBRT_HUMAN	GBRB3_HUMAN	0.6
GBRT_HUMAN	NPTN_HUMAN	0.6
GBRT_HUMAN	GBRA3_HUMAN	0.6
GBRT_HUMAN	GBRB2_HUMAN	0.6
GBRT_HUMAN	GBRA5_HUMAN	0.6
GBRT_HUMAN	GBRA2_HUMAN	0.6
GBRT_HUMAN	ARHG9_HUMAN	0.6
GBRT_HUMAN	GBRA1_HUMAN	0.6
GBRT_HUMAN	GBRA6_HUMAN	0.6
GBRT_HUMAN	GBRA4_HUMAN	0.6
GBRB1_HUMAN	GBRB1_HUMAN	1.6
GBRB1_HUMAN	GBRB3_HUMAN	0.6
GBRB1_HUMAN	GABR2_HUMAN	0.6
GBRB1_HUMAN	NPTN_HUMAN	0.6
GBRB1_HUMAN	GBRA3_HUMAN	0.6
GBRB1_HUMAN	GEPH_HUMAN	0.6
GBRB1_HUMAN	GBRB2_HUMAN	0.6
GBRB1_HUMAN	GBRA5_HUMAN	0.6
GBRB1_HUMAN	GBRA2_HUMAN	1.24
GBRB1_HUMAN	KPCG_HUMAN	0.8
GBRB1_HUMAN	ARHG9_HUMAN	0.6
GBRB1_HUMAN	GBRA1_HUMAN	6.039999999999999
GBRB1_HUMAN	GBRA6_HUMAN	0.6
GBRB1_HUMAN	GBRA4_HUMAN	0.6
GBRB3_HUMAN	GBRB3_HUMAN	40.0
GBRB3_HUMAN	GRM5_HUMAN	0.8
GBRB3_HUMAN	GABR2_HUMAN	0.6
GBRB3_HUMAN	NPTN_HUMAN	0.6
GBRB3_HUMAN	GBRA3_HUMAN	0.6
GBRB3_HUMAN	MFN2_HUMAN	0.8
GBRB3_HUMAN	AP2M1_HUMAN	0.8
GBRB3_HUMAN	GEPH_HUMAN	0.6
GBRB3_HUMAN	GBRB2_HUMAN	1.4
GBRB3_HUMAN	GBRA5_HUMAN	2.6
GBRB3_HUMAN	GBRA2_HUMAN	2.04
GBRB3_HUMAN	ARHG9_HUMAN	0.6
GBRB3_HUMAN	GIT1_HUMAN	0.8
GBRB3_HUMAN	GBRA1_HUMAN	5.24
GBRB3_HUMAN	GBRA6_HUMAN	1.4
GBRB3_HUMAN	KCD12_HUMAN	0.8
GBRB3_HUMAN	GBRA4_HUMAN	1.4
RS27A_HUMAN	RS27A_HUMAN	58.2
RS27A_HUMAN	MFN2_HUMAN	0.6
RS27A_HUMAN	AP2M1_HUMAN	2.2
RS27A_HUMAN	UBB_HUMAN	1.7999999999999998
GRM5_HUMAN	GRM5_HUMAN	22.0
GRM5_HUMAN	GBRA2_HUMAN	1.6
GRM5_HUMAN	GBRA1_HUMAN	0.8
GABR2_HUMAN	GABR1_HUMAN	40.2
GABR2_HUMAN	GBRB2_HUMAN	0.6
GABR2_HUMAN	GBRA2_HUMAN	0.6
GABR2_HUMAN	GBRA1_HUMAN	0.6
GABR2_HUMAN	KCD12_HUMAN	1.0
GABR2_HUMAN	GBRA4_HUMAN	0.6
NPTN_HUMAN	GBRA3_HUMAN	0.6
NPTN_HUMAN	CALX_HUMAN	0.8
NPTN_HUMAN	GBRB2_HUMAN	2.2
NPTN_HUMAN	GBRA5_HUMAN	0.6
NPTN_HUMAN	GBRA2_HUMAN	0.6
NPTN_HUMAN	ARHG9_HUMAN	0.6
NPTN_HUMAN	GBRA1_HUMAN	0.6
NPTN_HUMAN	GBRA6_HUMAN	0.6
NPTN_HUMAN	GBRA4_HUMAN	0.6
GABR1_HUMAN	GABR1_HUMAN	3.6
GBRA3_HUMAN	GBRA3_HUMAN	12.800000000000002
GBRA3_HUMAN	GEPH_HUMAN	22.20000000000001
GBRA3_HUMAN	GBRB2_HUMAN	0.6
GBRA3_HUMAN	GBRA5_HUMAN	2.2
GBRA3_HUMAN	GBRA2_HUMAN	1.24
GBRA3_HUMAN	ARHG9_HUMAN	0.64
GBRA3_HUMAN	GBRA1_HUMAN	1.24
GBRA3_HUMAN	GBRA6_HUMAN	0.6
GBRA3_HUMAN	GBRA4_HUMAN	0.6
GBRD_HUMAN	GBRG1_HUMAN	0.6
GBRD_HUMAN	GBRA1_HUMAN	0.6
GBRD_HUMAN	GBRA6_HUMAN	0.6
GBRD_HUMAN	GBRA4_HUMAN	0.8
KIF5C_HUMAN	KIF5C_HUMAN	7.68
KIF5C_HUMAN	KINH_HUMAN	5.119999999999999
PP2BA_HUMAN	PP2BA_HUMAN	12.0
PP2BA_HUMAN	AP2M1_HUMAN	0.6
PP2BA_HUMAN	GBRB2_HUMAN	0.8
PP2BA_HUMAN	GBRA1_HUMAN	0.8
CALX_HUMAN	CALX_HUMAN	11.200000000000001
CALX_HUMAN	GBRA1_HUMAN	1.0
MFN2_HUMAN	MFN2_HUMAN	16.0
MFN2_HUMAN	UBB_HUMAN	3.2
AP2M1_HUMAN	AP2M1_HUMAN	4.8
AP2M1_HUMAN	UBB_HUMAN	3.2
GEPH_HUMAN	GEPH_HUMAN	44.39999999999999
GEPH_HUMAN	GBRB2_HUMAN	0.6
GEPH_HUMAN	GBRA5_HUMAN	1.4
GEPH_HUMAN	GBRA2_HUMAN	1.4
GEPH_HUMAN	ARHG9_HUMAN	11.4
GEPH_HUMAN	GIT1_HUMAN	0.8
GEPH_HUMAN	GBRG1_HUMAN	0.6
GEPH_HUMAN	GBRA1_HUMAN	1.24
GEPH_HUMAN	GBRA6_HUMAN	0.6
GEPH_HUMAN	GBRA4_HUMAN	0.6
GBRB2_HUMAN	GBRB2_HUMAN	12.0
GBRB2_HUMAN	GBRA5_HUMAN	0.6
GBRB2_HUMAN	GBRA2_HUMAN	1.24
GBRB2_HUMAN	ARHG9_HUMAN	0.6
GBRB2_HUMAN	GBRG1_HUMAN	0.6
GBRB2_HUMAN	GBRA1_HUMAN	35.04
GBRB2_HUMAN	GBRA6_HUMAN	0.6
GBRB2_HUMAN	GBRA4_HUMAN	0.6
GBRA5_HUMAN	GBRA2_HUMAN	1.24
GBRA5_HUMAN	GBRA1_HUMAN	1.24
GBRA5_HUMAN	GBRA6_HUMAN	0.6
GBRA5_HUMAN	GBRA4_HUMAN	0.6
GBRA2_HUMAN	GBRA2_HUMAN	1.28
GBRA2_HUMAN	ARHG9_HUMAN	1.4
GBRA2_HUMAN	GBRA1_HUMAN	1.24
GBRA2_HUMAN	GBRA6_HUMAN	0.6
GBRA2_HUMAN	KCD12_HUMAN	0.8
GBRA2_HUMAN	GBRA4_HUMAN	1.24
KPCG_HUMAN	KPCG_HUMAN	7.6
KPCG_HUMAN	GBRA1_HUMAN	1.0
KPCG_HUMAN	GBRA4_HUMAN	1.0
ARHG9_HUMAN	ARHG9_HUMAN	1.6
GIT1_HUMAN	GIT1_HUMAN	20.000000000000004
GBRG1_HUMAN	GBRA1_HUMAN	1.24
GBRA1_HUMAN	GBRA1_HUMAN	3.2800000000000002
GBRA1_HUMAN	GBRA6_HUMAN	0.6
GBRA1_HUMAN	GBRA4_HUMAN	1.24
GBRA6_HUMAN	GBRA4_HUMAN	0.6
KINH_HUMAN	KINH_HUMAN	72.4
ERBB4_HUMAN	ERBB4_HUMAN	53.2
KCD12_HUMAN	KCD12_HUMAN	30.0
UBB_HUMAN	UBB_HUMAN	233.4
