UniProtID	UniProtID	score
NCDN_HUMAN	DLG4_HUMAN	0.64
NCDN_HUMAN	TERA_HUMAN	0.8
NCDN_HUMAN	SHAN3_HUMAN	1.92
NCDN_HUMAN	DLGP1_HUMAN	1.28
NCDN_HUMAN	TAU_HUMAN	1.28
NCDN_HUMAN	PAX6_HUMAN	3.2
NCDN_HUMAN	S61A1_HUMAN	0.8
NCDN_HUMAN	HD_HUMAN	0.64
NCDN_HUMAN	MPRI_HUMAN	0.8
NCDN_HUMAN	EGFR_HUMAN	1.6
NCDN_HUMAN	NEB2_HUMAN	0.64
NCDN_HUMAN	UBC_HUMAN	1.44
NCDN_HUMAN	TNR5_HUMAN	0.8
NCDN_HUMAN	DISC1_HUMAN	0.64
NCDN_HUMAN	ATPB_HUMAN	0.8
NCDN_HUMAN	PREX1_HUMAN	4
NCDN_HUMAN	HNRPL_HUMAN	0.8
NCDN_HUMAN	FMR1_HUMAN	0.8
NCDN_HUMAN	RPN1_HUMAN	0.8
NCDN_HUMAN	PTPRN_HUMAN	0.8
NCDN_HUMAN	HOME1_HUMAN	1.28
NCDN_HUMAN	GRM5_HUMAN	1
NCDN_HUMAN	AT1A1_HUMAN	0.8
NCDN_HUMAN	DNJC7_HUMAN	0.8
NCDN_HUMAN	TRIM2_HUMAN	0.64
NCDN_HUMAN	TBB5_HUMAN	0.8
NCDN_HUMAN	POTE1_HUMAN	1.6
NCDN_HUMAN	5HT6R_HUMAN	0.8
NCDN_HUMAN	CYFP1_HUMAN	1.28
NCDN_HUMAN	IPP2_HUMAN	1.44
NCDN_HUMAN	UBXN6_HUMAN	0.8
NCDN_HUMAN	A2MG_HUMAN	1.6
NCDN_HUMAN	GSTK1_HUMAN	0.8
NCDN_HUMAN	ECHP_HUMAN	0.8
NCDN_HUMAN	AGAP2_HUMAN	1.28
NCDN_HUMAN	BICD2_HUMAN	0.8
NCDN_HUMAN	PROP1_HUMAN	0.8
NCDN_HUMAN	RUVB1_HUMAN	1.44
NCDN_HUMAN	RUVB2_HUMAN	2.24
NCDN_HUMAN	LRRK2_HUMAN	0.64
NCDN_HUMAN	TINF2_HUMAN	2.4000000000000004
NCDN_HUMAN	XPO1_HUMAN	1.44
NCDN_HUMAN	TP4A3_HUMAN	0.8
NCDN_HUMAN	IKKE_HUMAN	0.8
NCDN_HUMAN	VATA_HUMAN	0.64
NCDN_HUMAN	ITM2B_HUMAN	1.28
NCDN_HUMAN	TLE5_HUMAN	3.2
NCDN_HUMAN	EFHC2_HUMAN	6.3999999999999995
NCDN_HUMAN	K2C75_HUMAN	3.2
NCDN_HUMAN	ZN398_HUMAN	3.2
NCDN_HUMAN	ZBED1_HUMAN	3.2
NCDN_HUMAN	PRP8_HUMAN	2.88
NCDN_HUMAN	ACD_HUMAN	1.6
NCDN_HUMAN	CFTR_HUMAN	1.6
NCDN_HUMAN	LYST_HUMAN	0.8
NCDN_HUMAN	CCDC8_HUMAN	0.8
NCDN_HUMAN	AAR2_HUMAN	2.4000000000000004
NCDN_HUMAN	TTC27_HUMAN	1.6
NCDN_HUMAN	PTPRA_HUMAN	0.8
NCDN_HUMAN	ECD_HUMAN	1.6
NCDN_HUMAN	EAPP_HUMAN	1.6
NCDN_HUMAN	ADAS_HUMAN	0.8
NCDN_HUMAN	AL3A2_HUMAN	0.8
NCDN_HUMAN	ASAH1_HUMAN	0.8
NCDN_HUMAN	ATPA_HUMAN	0.8
NCDN_HUMAN	CLP1L_HUMAN	0.8
NCDN_HUMAN	COA1_HUMAN	0.8
NCDN_HUMAN	ESYT1_HUMAN	0.8
NCDN_HUMAN	GOGA5_HUMAN	0.8
NCDN_HUMAN	DHB12_HUMAN	0.8
NCDN_HUMAN	HACL2_HUMAN	0.8
NCDN_HUMAN	LNP_HUMAN	0.8
NCDN_HUMAN	MOGS_HUMAN	0.8
NCDN_HUMAN	NCDN_HUMAN	1.6
NCDN_HUMAN	PGRC1_HUMAN	0.8
NCDN_HUMAN	AAAT_HUMAN	0.8
NCDN_HUMAN	TSSC4_HUMAN	1.6
NCDN_HUMAN	ZNHI2_HUMAN	0.8
NCDN_HUMAN	HIF1N_HUMAN	0.8
NCDN_HUMAN	U5S1_HUMAN	2.4000000000000004
NCDN_HUMAN	LMBRL_HUMAN	0.8
NCDN_HUMAN	PINK1_HUMAN	0.8
NCDN_HUMAN	SC6A4_HUMAN	0.64
NCDN_HUMAN	DJC17_HUMAN	0.8
NCDN_HUMAN	FZR1_HUMAN	0.8
NCDN_HUMAN	GLPA_HUMAN	0.8
NCDN_HUMAN	LRIT3_HUMAN	0.8
NCDN_HUMAN	K1143_HUMAN	0.8
NCDN_HUMAN	NT5C_HUMAN	0.8
NCDN_HUMAN	GGT1_HUMAN	0.8
NCDN_HUMAN	IGSF8_HUMAN	0.8
NCDN_HUMAN	NPAS1_HUMAN	0.8
NCDN_HUMAN	KLH34_HUMAN	0.8
NCDN_HUMAN	LEUK_HUMAN	0.8
NCDN_HUMAN	TEBP_HUMAN	1.6
NCDN_HUMAN	RFXK_HUMAN	0.8
NCDN_HUMAN	CIB2_HUMAN	0.8
NCDN_HUMAN	SOLH1_HUMAN	0.8
NCDN_HUMAN	SNR40_HUMAN	0.8
NCDN_HUMAN	PKHG7_HUMAN	0.8
NCDN_HUMAN	CD70_HUMAN	0.8
NCDN_HUMAN	BTNL9_HUMAN	0.8
NCDN_HUMAN	CMTD1_HUMAN	0.8
NCDN_HUMAN	FBX32_HUMAN	0.8
NCDN_HUMAN	TLS1_HUMAN	1.6
NCDN_HUMAN	FA50A_HUMAN	0.8
NCDN_HUMAN	HMGA1_HUMAN	0.8
NCDN_HUMAN	SMD2_HUMAN	0.8
NCDN_HUMAN	RUXF_HUMAN	0.8
NCDN_HUMAN	TRI67_HUMAN	0.8
NCDN_HUMAN	FITM2_HUMAN	0.64
NCDN_HUMAN	ARLY_HUMAN	0.8
NCDN_HUMAN	SLD5_HUMAN	0.8
NCDN_HUMAN	PLOD1_HUMAN	0.8
NCDN_HUMAN	PCP_HUMAN	0.8
NCDN_HUMAN	ODPA_HUMAN	1.44
NCDN_HUMAN	IPP2B_HUMAN	0.64
NCDN_HUMAN	TRIM3_HUMAN	0.64
NCDN_HUMAN	TWF1_HUMAN	0.8
NCDN_HUMAN	DPP9_HUMAN	0.8
NCDN_HUMAN	MCTS1_HUMAN	0.8
NCDN_HUMAN	DNJB5_HUMAN	0.8
NCDN_HUMAN	CCNF_HUMAN	0.8
NCDN_HUMAN	RFA1_HUMAN	0.8
NCDN_HUMAN	RFA2_HUMAN	0.8
NCDN_HUMAN	RFA3_HUMAN	0.8
