UniProtID	UniProtID	score
ABLM3_HUMAN	GRB2_HUMAN	0.8
ABLM3_HUMAN	HDAC6_HUMAN	0.8
ABLM3_HUMAN	SNW1_HUMAN	0.8
ABLM3_HUMAN	BRCA1_HUMAN	1.6
ABLM3_HUMAN	AFAD_HUMAN	0.8
ABLM3_HUMAN	EGFR_HUMAN	1.6
ABLM3_HUMAN	ATRX_HUMAN	0.8
ABLM3_HUMAN	ABI2_HUMAN	0.8
ABLM3_HUMAN	PDLI7_HUMAN	0.8
ABLM3_HUMAN	BANP_HUMAN	0.8
ABLM3_HUMAN	ACTC_HUMAN	1
ABLM3_HUMAN	SRCN1_HUMAN	0.64
ABLM3_HUMAN	IKZF3_HUMAN	4.8
ABLM3_HUMAN	TFP11_HUMAN	0.8
ABLM3_HUMAN	MAT1_HUMAN	0.8
ABLM3_HUMAN	BBS2_HUMAN	0.8
ABLM3_HUMAN	MYCB2_HUMAN	1.28
ABLM3_HUMAN	CYFP2_HUMAN	0.64
ABLM3_HUMAN	CCNH_HUMAN	0.8
ABLM3_HUMAN	ADIP_HUMAN	3.2
ABLM3_HUMAN	SC6A4_HUMAN	0.64
ABLM3_HUMAN	MCM7_HUMAN	0.8
ABLM3_HUMAN	ACTS_HUMAN	1
ABLM3_HUMAN	CADH1_HUMAN	0.8
ABLM3_HUMAN	BMI1_HUMAN	0.8
ABLM3_HUMAN	TARB1_HUMAN	0.8
ABLM3_HUMAN	LIMD1_HUMAN	0.8
ABLM3_HUMAN	PALMD_HUMAN	0.8
ABLM3_HUMAN	CBX8_HUMAN	0.8
ABLM3_HUMAN	C19L2_HUMAN	0.8
ABLM3_HUMAN	PTHB1_HUMAN	0.8
ABLM3_HUMAN	SOX2_HUMAN	0.8
ABLM3_HUMAN	HIKES_HUMAN	0.8
ABLM3_HUMAN	ZN426_HUMAN	0.8
ABLM3_HUMAN	APEX1_HUMAN	0.8
ABLM3_HUMAN	CCD33_HUMAN	0.8
ABLM3_HUMAN	CTSR1_HUMAN	0.8
ABLM3_HUMAN	ZN620_HUMAN	0.8
ABLM3_HUMAN	ABRA_HUMAN	1
ABLM3_HUMAN	GNPI1_HUMAN	0.8
ABLM3_HUMAN	GDAH_HUMAN	0.8
