UniProtID	UniProtID	score
DOCK1_HUMAN	GRB2_HUMAN	10.639999999999999
DOCK1_HUMAN	SRC_HUMAN	1.6
DOCK1_HUMAN	NCK1_HUMAN	0.8
DOCK1_HUMAN	CRK_HUMAN	16.000000000000004
DOCK1_HUMAN	CRKL_HUMAN	2.4000000000000004
DOCK1_HUMAN	NCK2_HUMAN	4
DOCK1_HUMAN	FYN_HUMAN	0.8
DOCK1_HUMAN	SRGP2_HUMAN	0.64
DOCK1_HUMAN	RBP1_HUMAN	0.64
DOCK1_HUMAN	EXOC4_HUMAN	0.64
DOCK1_HUMAN	ELMO1_HUMAN	36.31999999999999
DOCK1_HUMAN	ELMO3_HUMAN	4.16
DOCK1_HUMAN	ZHX2_HUMAN	1.92
DOCK1_HUMAN	VP37C_HUMAN	0.64
DOCK1_HUMAN	ELMO2_HUMAN	2.08
DOCK1_HUMAN	RHOG_HUMAN	2.8
DOCK1_HUMAN	RAC1_HUMAN	14.400000000000002
DOCK1_HUMAN	ANR28_HUMAN	4
DOCK1_HUMAN	CEBPE_HUMAN	1
DOCK1_HUMAN	DOCK1_HUMAN	2
DOCK1_HUMAN	MLP3B_HUMAN	1.6
DOCK1_HUMAN	SMN_HUMAN	1.28
DOCK1_HUMAN	RAC2_HUMAN	2.4000000000000004
DOCK1_HUMAN	DOCK5_HUMAN	4.0
DOCK1_HUMAN	DOCK9_HUMAN	1.6
DOCK1_HUMAN	ANR54_HUMAN	2.4000000000000004
DOCK1_HUMAN	FBW1A_HUMAN	2.4000000000000004
DOCK1_HUMAN	SURF4_HUMAN	1.6
DOCK1_HUMAN	AGRB1_HUMAN	0.8
DOCK1_HUMAN	SNW1_HUMAN	1.6
DOCK1_HUMAN	CUL1_HUMAN	1.6
DOCK1_HUMAN	BCAR1_HUMAN	2.6
DOCK1_HUMAN	FAK1_HUMAN	0.8
DOCK1_HUMAN	MEPCE_HUMAN	0.8
DOCK1_HUMAN	FBW1B_HUMAN	2.4000000000000004
DOCK1_HUMAN	NTRK1_HUMAN	0.8
DOCK1_HUMAN	ARL4A_HUMAN	1
DOCK1_HUMAN	BRAF_HUMAN	0.64
DOCK1_HUMAN	HNRPL_HUMAN	0.8
DOCK1_HUMAN	FGFR1_HUMAN	0.8
DOCK1_HUMAN	SPDLY_HUMAN	0.8
DOCK1_HUMAN	ESR2_HUMAN	0.8
DOCK1_HUMAN	GRASP_HUMAN	4
DOCK1_HUMAN	CYH2_HUMAN	2
DOCK1_HUMAN	ICEF1_HUMAN	1
DOCK1_HUMAN	VIR_HUMAN	0.8
DOCK1_HUMAN	CHIN_HUMAN	0.8
DOCK1_HUMAN	LRC31_HUMAN	0.8
DOCK1_HUMAN	SMAD4_HUMAN	0.8
DOCK1_HUMAN	NMDZ1_HUMAN	0.8
DOCK1_HUMAN	GLPA_HUMAN	0.8
DOCK1_HUMAN	NUAK1_HUMAN	0.8
DOCK1_HUMAN	STK16_HUMAN	0.8
DOCK1_HUMAN	SDC2_HUMAN	0.8
DOCK1_HUMAN	L2GL2_HUMAN	0.8
DOCK1_HUMAN	INP5K_HUMAN	0.8
DOCK1_HUMAN	VSIG4_HUMAN	0.8
DOCK1_HUMAN	SPSB4_HUMAN	0.8
DOCK1_HUMAN	ZRAN1_HUMAN	0.8
DOCK1_HUMAN	TRI67_HUMAN	0.8
DOCK1_HUMAN	PROF1_HUMAN	1.6
DOCK1_HUMAN	OTUD4_HUMAN	0.64
DOCK1_HUMAN	DAB1_HUMAN	0.8
DOCK1_HUMAN	KAPCA_HUMAN	1
DOCK1_HUMAN	RHG35_HUMAN	0.64
DOCK1_HUMAN	RHG15_HUMAN	0.64
DOCK1_HUMAN	RHG21_HUMAN	0.64
DOCK1_HUMAN	RHG26_HUMAN	0.64
DOCK1_HUMAN	RHG42_HUMAN	0.64
DOCK1_HUMAN	CHIO_HUMAN	0.64
DOCK1_HUMAN	DMD_HUMAN	0.64
DOCK1_HUMAN	KLH17_HUMAN	0.64
DOCK1_HUMAN	PRIC1_HUMAN	0.64
DOCK1_HUMAN	PRIC2_HUMAN	0.64
DOCK1_HUMAN	SOS1_HUMAN	0.64
DOCK1_HUMAN	SYGP1_HUMAN	0.64
DOCK1_HUMAN	FGD4_HUMAN	0.64
DOCK1_HUMAN	GNAL_HUMAN	0.64
DOCK1_HUMAN	PDLI5_HUMAN	0.64
DOCK1_HUMAN	RPGF4_HUMAN	0.64
DOCK1_HUMAN	SRGP1_HUMAN	0.64
DOCK1_HUMAN	STRP2_HUMAN	0.64
DOCK1_HUMAN	DIAP2_HUMAN	0.8
DOCK1_HUMAN	ANFY1_HUMAN	0.8
DOCK1_HUMAN	RASK_HUMAN	0.8
DOCK1_HUMAN	RHOB_HUMAN	0.8
DOCK1_HUMAN	ATG9A_HUMAN	0.8
